zst: x = 13 (prime powers <= 13), N = 240, prec = 800 bits, L = [2.56494935746154 +/- 3.27e-15]
matrix build: 0.35s
minimal even eigenvalue eps_N = [2.818786332e-59 +/- 4.94e-71]  (Rump-certified, 4.03s)
inertia below 2 eps: even block 1 (want 1), odd block 0 (want 0)  [-1 = inconclusive]  (1.43s)
even-simple hypothesis: CERTIFIED
xi_0 = [1.020131589e+28 +/- 3.71e+18], xi_1 = [-8.958334914e+27 +/- 2.47e+17], xi_N = [0.00097606 +/- 2.32e-9]
positive secular roots: 240 certified of N = 240, 0 unresolved  ->  spectrum COMPLETE  (14.22s)

  k   z_k = 2 pi s_k / L                                   |z_k - gamma_k| <=
  1   14.13472514173469379045725198356247027078   1.97e-55
  2   21.02203963877155499262847959389690277733   3.64e-52
  3   25.01085758014568876321379099256282181866   3.37e-50
  4   30.42487612585951321031189753058409132018   2.96e-47
  5   32.93506158773918969066236896407490348881   5.77e-46
  6   37.58617815882567125721776348070533282141   8.61e-44
  7   40.91871901214749518739812691463325439573   8.16e-42
  8   43.32707328091499951949612216540680578265   9.67e-41
  9   48.00515088116715972794247274942751604172   3.36e-38
 10   49.77383247767230218191678467856372405805   3.24e-37
 11   52.97032147771446064414729660888099006831   4.48e-36
 12   56.44624769706339480436775947670612780092   2.48e-34
 13   59.34704400260235307965364867499223775315   1.87e-32
 14   60.83177852460980984425990182452407291027   6.91e-32
 15   65.11254404808160666087505425318764673075   3.94e-30
 16   67.07981052949417371447882889657631316860   5.41e-29
 17   69.54640171117397925292685752705298288371   4.98e-28
 18   72.06715767448190758252210797365227663604   3.83e-27
 19   75.70469069908393316832691721428936819065   4.52e-25
 20   77.14484006887480537268266776635075632873   2.91e-24
 21   79.33737502024936792276360090387395866234   8.03e-24
 22   82.91038085408603018316511094408190434576   2.73e-22
 23   84.73549298051705010573767079069388514312   2.36e-21
 24   87.42527461312522940657570516971957589377   4.40e-20
 25   88.80911120763446542379271785629304418420   1.10e-19
 26   92.49189927055848429797636728780043801187   1.72e-18
 27   94.65134404051988701601402099172199235606   4.94e-17
 28   95.87063422824530986999264610295743443675   1.11e-16
 29   98.83119421819369257447616799068291452395   3.41e-16
 30   101.3178510057313947496070220516312572345   3.52e-15
 31   103.7255380404783948018102173262501921966   5.54e-14
 32   105.4466230523263966651216893996417343996   3.02e-13
 33   107.1686111842768827818179134237371457979   4.75e-13
 34   111.0295355432036417288794952950752984419   3.40e-11
 35   111.8746591770808820494424764432765319291   8.82e-11
 36   114.3202209156092855145488377808228450152   1.57e-10
 37   116.2266803212754747543736534530735362597   4.18e-10
 38   118.7907828676285322423480870631964201386   1.65e-9
 39   121.3701250301277628069733736607241167245   2.77e-8
 40   122.9468294648008995829818775442915297530   1.71e-7
 41   124.2568187364336871506180166818333448262   1.82e-7
 42   127.5166843677005653492359169275050635322   4.88e-7
 43   129.5787089570466122200558755753382059296   4.76e-6
 44   131.0877002161906948267874667979593270946   1.17e-5
 45   133.4977834593771395367350216887645777330   4.63e-5
 46   134.7565699249937325424863301234081359848   6.02e-5
 47   138.1163077944130518306225125601530727780   0.000266
 48   139.7379839571781259054212960028105921805   0.00178
 49   141.1263829511020157756782822119011569198   0.00268
 50   143.1136770170108134867665114914017973769   0.00183
 51   146.0084932992724150071760953541788978747   0.00751
 52   147.4392780995710061812782496652558137544   0.0165
 53   150.1581334570842652025268796264168289436   0.105
 54   151.1186837427645527857406843571319528495   0.193
 55   153.0701302132767721307962593440021607005   0.0454
 56   156.2286513192371704061931478181977563652   0.116
 57   158.0822539767754638960211143603052175291   0.485
 58   159.8148254315803924386094644529495296741   0.965
 59   161.6960915528958742506538018691344072873   0.507
 60   163.4632470492802515736807403261136955310   0.433
 61   165.9198543548505247757437355832428486909   0.383
 62   167.7985973950676342176423678560502962023   0.614
 63   169.6709425170623378906306390758400268748   0.576
 64   173.4263765631517416501143950357012535839   3.51
 65   175.0307506632537582945945754090726038309   1.62
 66   177.0115460733310218797903372139481143790   2.26
 67   179.2153029763627469550608441813243529743   2.77
 68   181.5601013232145744273027033824277353439   3.18
 69   183.3008111022952383348236784446630424948   3.38
 70   185.4273334638983621686875427653282269497   3.22
 71   187.5244877679491414129211093475503860788   2.65
 72   189.6975549313218009702055651743332681565   4.10
 73   192.5131150899475910024429109064331596807   5.28
 74   195.0085967503095408768437370331841891158   5.59
 75   197.0825780998458741136310028229702287261   5.06
 76   198.6080134436020798940877697603190249027   5.53
 77   201.7049273604828769176884691946547465771   6.44
 78   203.9298418083991207387187934447916539269   7.05
 79   205.6530515435696834575250784718443104171   7.64
 80   208.4108417743871985429421795758471955501   7.15
 81   210.6494800338826432752006734648742976675   8.16
 82   212.9348046427289830032600457224838757462   8.75
 83   214.9599293782246081575654705688668498249   9.57
 84   216.8872879734662433343645681671913186368   8.98
 85   219.5496417467735485915715008362777963637   9.97
 86   221.3633546836347697688790910175432831063   9.67
 87   224.4446897036616710755574513771461919646   11.1
 88   227.0700704142782380297193648344852709568   12.5
 89   229.1427633974789049820795625864660566080   13.0
 90   231.5192880811134714079199510798627155302   12.5
 91   233.5884847828630166381207005937319360223   12.9
 92   236.7387021995510121339757781529142049194   15.3
 93   238.6908233334483782905557489558335138383   14.7
 94   240.8263829639579018020857071549545360402   15.8
 95   243.2855282480580169655796930146020097228   15.9
 96   245.3901013908448589568447788245489549203   16.1
 97   247.8045620877115006457712441473165062566   16.6
 98   250.1695014018974450066294185815779065496   18.2
 99   252.6349338556755808497896458991648614798   18.9
100   255.2832984479509727396195424453963558303   18.8
101   257.0866782381241703759557617407229562718   19.3
102   259.5735183922714888165795002884262591879   20.0
103   261.3611857910873185032499860787089950401   20.3
104   264.1082621851917092156940821860543828720   21.3
105   266.4886774815257273199105640552088945067   22.4
106   268.7269503398777881159217440297210441861   21.6
107   271.0393851945717624762198932351552598175   22.9
108   273.4820975958500777060483895087819595872   23.9
109   276.0608006186774738583000946076751080165   25.0
110   278.6052542636956004593954603809888230901   25.5
111   280.8802680748669546614589406014747855212   25.6
112   283.0717295820430962897439822528693118178   26.7
113   285.4875693350878150931723857992451097531   26.9
114   287.7358718489116389043581582504261905816   27.9
115   290.0199936405120256496619402590613864873   29.2
116   292.6038463708483075825709492253877424261   29.0
117   295.0043234017322377553309563867392840381   29.4
