y	distance_to_prime	q0	q1	q2	q3	q4	q5	q6	q7
0.010019333427584128	0.68312784713236119	1.9989107103933981	1.9968840426886423	1.9951574976103155	1.9936384529757243	1.9917779041514063	1.987730871464394	1.980639508595019	1.9772657009135255
0.020038666855168256	0.67310851370477709	1.9956462338207939	1.9875515781525381	1.9806656084691694	1.974616505412754	1.9672245150123131	1.951179428567581	1.9230964831175237	1.9097751071168738
0.030058000282752385	0.66308918027719288	1.9902167302589728	1.972048726633242	1.9566308711800071	1.9431214781191757	1.9266764980465061	1.8911069475632618	1.8289697390436381	1.7996405098050541
0.040077333710336512	0.65306984684960878	1.9826390772307223	1.9504520162007031	1.9232298018710128	1.8994630516377602	1.870688242209914	1.8087605717995463	1.7008694104919024	1.6503012658037814
0.050096667137920638	0.64305051342202468	1.9729367865342042	1.922867877192282	1.8807073336977531	1.8440695254143851	1.8000219384689939	1.7058414922751448	1.5423369977141725	1.4664053388727285
0.060116000565504771	0.63303117999444058	1.9611398884351099	1.8894319402726203	1.8293746556195707	1.7774826605651115	1.715634002860541	1.5844616915010019	1.3577371345547302	1.2536497831852524
0.070135333993088897	0.62301184656685638	1.9472847840849909	1.8503081438883362	1.7696064735397943	1.7003511842857308	1.6186581472013326	1.4470904929001207	1.1521246185523886	1.0185861694426652
0.080154667420673023	0.61299251313927228	1.9314140671364701	1.8056876584404751	1.7018377229580608	1.6134230536013916	1.5103854731743347	1.2964924449940596	0.9310910394464077	0.76839822198619234
0.090174000848257149	0.60297317971168818	1.9135763157253691	1.7557876359727695	1.6265597679503092	1.5175365939137055	1.3922420282283423	1.1356583089189465	0.70059598256269229	0.51065989876599061
0.10019333427584128	0.59295384628410408	1.8938258561795733	1.7008497955606849	1.5443161264957328	1.4136106433436884	1.265764312948586	0.96773110219740022	0.46678825065805302	0.25308276916074635
0.1102126677034254	0.58293451285651987	1.8722224999931587	1.6411388558715445	1.4556977668457223	1.3026338469194876	1.1325732680456595	0.79592927582168793	0.23582282671296445	0.0032618076067510385
0.12023200113100954	0.57291517942893577	1.8488312557705424	1.5769408275377408	1.3613380237221848	1.1856532550058543	0.99434729400185662	0.62346916224221161	0.013679383442471299	-0.23157137928339841
0.13025133455859367	0.56289584600135167	1.8237220179979219	1.5085611790324467	1.2619071865961651	1.0637623878690288	0.85279486723639064	0.45348882756593017	-0.19401196722011319	-0.44477932461373459
0.14027066798617779	0.55287651257376758	1.7969692346368764	1.4363228906512711	1.1581068150974483	0.938088932833546	0.70962731333816198	0.28897539302512965	-0.38213229274800775	-0.63052567610574928
0.15029000141376192	0.54285717914618337	1.7686515556567508	1.3605644119764118	1.0506638387177898	0.80978224210064531	0.56653228080282081	0.13269776150281737	-0.54621791132339492	-0.78395162890494841
0.16030933484134605	0.53283784571859927	1.738851464727466	1.2816375388262333	0.94032449938153995	0.6800007980114614	0.42514842852196433	-0.012853500557811004	-0.68258263235955818	-0.90131634882565204
