# QW(phi_delta, phi_delta)/||phi_delta||^2 split by term, floating point (autocorrelation on a grid);
# certified check points from lane A2 (entry(1, delta)) at delta = 0.02, 0.05, 0.1, 0.15, 0.2
delta,pole,archimedean,prime,total
0.475,1.419761671,-1.382203733,-0.0218501153,0.01570782241
0.48,1.434976997,-1.394411158,-0.02505035161,0.01551548684
0.485,1.450200864,-1.406508392,-0.02845851763,0.01523395419
0.49,1.465433363,-1.418497651,-0.03206580642,0.01486990542
0.495,1.480674586,-1.430381085,-0.03586289226,0.01443060809
0.5,1.495924623,-1.442160779,-0.03984011309,0.01392373122
0.505,1.511183568,-1.453838755,-0.04398760101,0.01335721217
0.51,1.526451511,-1.465416974,-0.04829540599,0.0127391305
0.515,1.541728543,-1.476897342,-0.05275359784,0.01207760362
0.52,1.557014758,-1.488281707,-0.0573523492,0.01138070162
0.525,1.572310245,-1.499571865,-0.0620820121,0.01065636856
0.53,1.587615099,-1.51076956,-0.06693314414,0.009912394231
0.535,1.602929409,-1.521876488,-0.07189655886,0.009156361951
0.54,1.618253269,-1.532894297,-0.07696336872,0.008395603665
0.545,1.63358677,-1.543824587,-0.08212499763,0.007637185694
0.55,1.648930006,-1.554668918,-0.08737319448,0.006887893546
0.555,1.664283067,-1.565428804,-0.09270006918,0.006154194261
0.56,1.679646047,-1.57610572,-0.09809803069,0.005442296847
0.565,1.695019038,-1.5867011,-0.1035598872,0.004758050661
0.57,1.710402133,-1.597216342,-0.1090787448,0.004107045372
0.575,1.725795423,-1.607652806,-0.1146480735,0.003494543537
0.58,1.741199003,-1.618011816,-0.1202616807,0.002925505944
0.585,1.756612964,-1.628294663,-0.1259136875,0.002404614012
0.59,1.7720374,-1.638502603,-0.1315985914,0.001936205977
0.595,1.787472404,-1.648636862,-0.137311358,0.001524183942
0.6,1.802918069,-1.658698635,-0.1430476164,0.0011718176
0.605,1.818374487,-1.668689085,-0.1488039461,0.000881456277
0.61,1.833841753,-1.678609348,-0.1545780969,0.0006543078481
0.615,1.849319959,-1.688460532,-0.1603692363,0.000490190628
0.62,1.864809199,-1.698243717,-0.1661779931,0.0003874887289
0.625,1.880309567,-1.707959958,-0.1720064476,0.0003431610788
0.63,1.895821155,-1.717610283,-0.1778579444,0.0003529276954
0.635,1.911344059,-1.727195698,-0.1837369134,0.0004114478063
0.64,1.926878372,-1.736717183,-0.1896485672,0.0005126221293
0.645,1.942424187,-1.746175695,-0.1955986809,0.0006498116669
0.65,1.957981599,-1.75557217,-0.2015932916,0.0008161379343
0.655,1.973550702,-1.764907521,-0.2076384775,0.001004703222
0.66,1.98913159,-1.774182642,-0.2137401987,0.001208748741
0.665,2.004724357,-1.783398405,-0.2199040663,0.001421885324
0.67,2.020329098,-1.792555663,-0.226135263,0.001638171936
0.675,2.035945908,-1.801655249,-0.2324384655,0.001852192821
0.68,2.05157488,-1.810697979,-0.2388177372,0.002059164059
0.685,2.06721611,-1.819684648,-0.2452765395,0.002254922156
