# Re V_n(u) = L^(-1/2) cos(2 pi n (log u + L/2)/L) on the x = 13 window (floating point)
log_u,Re V_0,Re V_1,Re V_2,Re V_5
0.6685126557,0.624396705,0.04168773471,-0.6188301567,0.2047354306
0.6941835417,0.624396705,0.08075663366,-0.6035073127,0.3771273273
0.7198544277,0.624396705,0.1195062914,-0.5786509361,0.5125422785
0.7455253137,0.624396705,0.1577835256,-0.5446536802,0.597702988
0.7711961996,0.624396705,0.1954370216,-0.5020525956,0.624259536
0.7968670856,0.624396705,0.2323179302,-0.4515206464,0.5896080804
0.8225379716,0.624396705,0.2682804566,-0.3938560798,0.4971461606
0.8482088576,0.624396705,0.3031824363,-0.329969816,0.3559395726
0.8738797436,0.624396705,0.3368858975,-0.2608710586,0.1798334766
0.8995506295,0.624396705,0.3692576059,-0.1876513524,-0.01390510633
0.9252215155,0.624396705,0.4001695923,-0.1114673404,-0.2062803079
0.9508924015,0.624396705,0.4294996575,-0.03352249222,-0.378429938
0.9765632875,0.624396705,0.4571318561,0.04495190677,-0.5134749031
1.002234173,0.624396705,0.4829569545,0.1227162059,-0.5981741835
1.027905059,0.624396705,0.5068728629,0.1985419718,-0.6242231022
1.053575945,0.624396705,0.5287850386,0.2712313941,-0.5890675895
1.079246831,0.624396705,0.54860686,0.3396362066,-0.4961546073
1.104917717,0.624396705,0.5662599689,0.4026758268,-0.3545941776
1.130588603,0.624396705,0.5816745803,0.4593544253,-0.1782661546
1.156259489,0.624396705,0.5947897584,0.508776657,0.0155406811
1.181930375,0.624396705,0.6055536572,0.5501618051,0.207823769
1.207601261,0.624396705,0.6139237257,0.5828561132,0.3797299507
1.233272147,0.624396705,0.6198668757,0.6063431133,0.5144040024
1.258943033,0.624396705,0.6233596135,0.620251784,0.5986412723
