# rtp1_a1 axisN (lane A1.2): the resolution axis at fixed window
# author claude:opus; driver zst/tools/rtp1_a1.c on libzst (FLINT 3.0.1)
# fixed: x = lambda^2 = 25, window L = log x = 3.21887582486820, prime powers k <= 25 enter, prec = 1800 bits
# varied: N = 1..260 (window matrix on |n| <= N is the leading block of the one on |n| <= N+1)
# reference: benchmark saturation N ~ 7.5 x = 187.5
# cross-lane reference (Conventions): zst (a_n, b_n) at x = 13, prime powers <= 13
#   n = 0  a_n = 0.0453328442159587070934518363426  b_n = 0
#   n = 1  a_n = 0.0465118895436779793116060710601  b_n = 0.0457203442394000540357853654912
#   n = 2  a_n = 0.0506210483629745920069696920272  b_n = 0.0939818448885741857990582354453
#   n = 3  a_n = 0.0603025794859511884689695760125  b_n = 0.148752677000255263998143181043
# ball LDL^T of even block (size 262): all pivots certified positive; odd block (size 261): all pivots certified positive
#   (so the window form is certified positive definite on |n| <= N for every N <= 261)
#   worst relative accuracy of the pivots: 392 bits (of 1800; error control of every column below)
#
# Columns (row N = the bordering |n| <= N -> |n| <= N+1, new modes +-(N+1)):
#   s_e, s_o   Schur complements of the new even / odd basis vector (LDL pivots)
#   dI         Delta I_N = log(d_e/s_e) + log(d_o/s_o), d = new diagonal entries (nats)
#   dI_e       even part of dI
#   logdet     log det of the window matrix on |n| <= N (size 2N+1)
#   r_e, r_o   half-widths of the admissible interval of b_{N+1} given a_{N+1} and |n| <= N (Loewner-structured)
#   r_j        half-width of the intersection of the two intervals; tau_j = truth position in it (-1..1)
#   dIs        log-det gain of the truth over the structured MaxEnt point (joint maximiser)
#   b          b_{N+1} (for scale)
    N          s_e          s_o           dI         dI_e         logdet         r_e         r_o         r_j     tau_j         dIs            b
   22   8.4571e-18   4.1150e-17      75.1870      38.4294     -1382.2808   3.038e-14   1.259e-13   3.038e-14      1.00       17.95     0.407497
   23   1.2579e-17   7.5773e-17      76.1968      39.0324     -1459.3216   1.644e-13   6.886e-13   1.644e-13      1.00       21.44     0.942676
   24   2.2155e-16   1.0088e-15      72.8990      37.2102     -1535.3549   9.394e-13   4.939e-12   9.394e-13      1.00       18.66     0.221451
   25   4.1942e-17   2.2896e-16      74.6181      38.1461     -1605.9308   2.306e-13   9.003e-13   2.306e-13      1.00       18.13    -0.469970
   26   2.2496e-16   1.1908e-15      72.7870      37.2322     -1679.6540   4.928e-12   2.393e-11   4.928e-12      1.00       23.88     0.491916
   27   1.5193e-17   6.5929e-17      73.5207      37.5238     -1750.0488   7.663e-14   3.574e-13   7.663e-14      1.00       19.18     0.241568
   28   1.4234e-15   5.5007e-15      69.4882      35.4221     -1826.0324   1.184e-11   4.592e-11   1.184e-11     -1.00       21.39     0.207696
   29   1.5457e-16   7.2186e-16      72.6720      37.1251     -1893.0520   1.537e-12   5.265e-12   1.537e-12      1.00       21.28      1.11834
   30   2.2034e-15   8.2467e-15      68.9133      35.1201     -1964.3226   1.905e-11   7.931e-11   1.905e-11      1.00       21.83     0.433526
   31   5.2404e-17   1.9696e-16      72.2715      36.8203     -2030.5004   1.686e-13   5.542e-13   1.686e-13      1.00       17.95     0.361232
   32   2.0824e-16   9.5845e-16      72.4300      36.9935     -2104.1514   2.517e-12   8.387e-12   2.517e-12      1.00       21.88      1.20245
   33   1.2457e-15   4.6675e-15      69.4311      35.3839     -2174.8405   7.135e-12   2.942e-11   7.135e-12      1.00       20.21     0.767283
   34   4.8362e-16   2.0198e-15      70.0021      35.7197     -2242.1577   3.611e-12   1.197e-11   3.611e-12      1.00       19.90     0.217062
   35   6.3380e-16   2.3382e-15      70.3300      35.8113     -2311.2587   1.876e-12   6.990e-12   1.876e-12      1.00       16.89    -0.527115
   36   1.0922e-14   3.7389e-14      65.5888      33.4095     -2379.9429   8.150e-11   2.749e-10   8.150e-11     -1.00       21.52   -0.0304788
   37   3.8901e-16   1.2740e-15      68.6140      34.9285     -2443.0083   1.663e-12   5.073e-12   1.663e-12      1.00       19.38     0.602366
   38   1.8272e-14   7.2421e-14      64.7524      33.0676     -2512.7879   3.875e-11   1.113e-10   3.875e-11      1.00       15.53     0.461198
   39   2.4375e-15   1.0288e-14      67.5232      34.4822     -2574.6775   1.563e-11   5.550e-11   1.563e-11      1.00       19.01    0.0460854
   40   1.2297e-15   3.5066e-15      69.4863      35.2634     -2640.5331   1.827e-12   6.862e-12   1.827e-12      1.00       14.87    -0.386394
   41   1.3712e-15   4.4264e-15      68.5597      34.8772     -2708.1492   5.717e-12   1.481e-11   5.717e-12      1.00       19.69     0.912640
   42   1.0736e-14   3.3783e-14      65.5142      33.3331     -2775.4236   4.825e-11   1.388e-10   4.825e-11      1.00       19.50     0.389909
   43   5.8870e-15   1.9621e-14      65.1090      33.1543     -2838.6076   2.065e-11   5.840e-11   2.065e-11      1.00       18.35    -0.137873
   44   9.7583e-14   2.8055e-13      61.8282      31.4426     -2902.9358   8.278e-11   2.400e-10   8.278e-11     0.999       13.08    0.0950704
   45   3.7381e-15   1.3415e-14      66.2427      33.7549     -2961.7959   1.076e-11   2.765e-11   1.076e-11      1.00       16.74    -0.420327
   46   3.8561e-15   1.2088e-14      66.9602      34.0586     -3026.9584   3.813e-11   1.251e-10   3.813e-11      1.00       21.69     0.807885
   47   2.4500e-14   5.9296e-14      63.4766      32.1828     -3092.1941   7.098e-11   2.041e-10   7.098e-11      1.00       18.95     0.281976
   48   1.6556e-12   4.4630e-12      56.3353      28.6624     -3153.9905    5.319e-9    1.165e-8    5.319e-9      1.00       20.46    -0.238432
   49   3.2256e-14   8.4378e-14      61.2023      31.0862     -3207.2525   8.627e-11   2.024e-10   8.627e-11      1.00       18.29     0.215558
   50   1.3540e-13   3.1392e-13      60.0149      30.4216     -3268.4211   1.335e-10   3.122e-10   1.335e-10      1.00       15.06    -0.718528
   51   4.1706e-12   1.1257e-11      53.8822      27.4356     -3326.8412    1.185e-8    2.516e-8    1.185e-8     -1.00       19.02    -0.343236
   52   5.2505e-12   1.4967e-11      53.2302      27.1418     -3378.2542    4.132e-8    1.004e-7    4.132e-8      1.00       22.32     0.496451
   53   5.0148e-10    1.2386e-9      44.4144      22.6606     -3429.1521    1.925e-5    4.999e-5    1.925e-5      1.00       28.73     0.248436
   54   1.0814e-11   3.0412e-11      51.8602      26.4473     -3471.0748    4.701e-8    1.076e-7    4.701e-8     -1.00       20.14    0.0356039
   55   1.3677e-13   3.8420e-13      56.1829      28.6350     -3520.5411   7.182e-10    1.826e-9   7.182e-10      1.00       19.72     0.552823
   56   4.2913e-11   1.2407e-10      50.1391      25.6031     -3578.7492    4.018e-8    1.090e-7    4.018e-8    -0.999       13.23     0.887127
   57   6.9530e-13   1.8049e-12      56.1022      28.5349     -3625.4313    2.823e-9    7.458e-9    2.823e-9      1.00       18.98     0.677161
   58   5.2457e-12   9.4480e-12      53.5118      27.0506     -3680.4662    1.934e-9    4.569e-9    1.934e-9      1.00       14.04    0.0907366
   59   3.7938e-12   9.1629e-12      53.0045      26.9387     -3731.8250    2.841e-9    4.381e-9    2.841e-9      1.00       14.49    -0.512431
   60   5.0054e-11   1.0921e-10      49.1053      24.9413     -3783.5386    4.588e-8    1.018e-7    4.588e-8     -1.00       15.35    -0.290369
   61   8.5410e-11   2.2444e-10      47.7385      24.3563     -3830.1942    4.816e-7    9.492e-7    4.816e-7      1.00       21.36     0.803723
   62    3.0336e-8    7.0666e-8      36.6135      18.7317     -3875.5952    0.001574    0.003629    0.001574     -1.00       29.77     0.561308
   63   2.0081e-11   4.4146e-11      50.2853      25.5351     -3909.3714    4.011e-9    7.960e-9    4.011e-9     0.995       8.841    -0.228927
   64   4.6242e-11   9.0388e-11      48.8782      24.7805     -3957.8462    4.777e-8    9.504e-8    4.777e-8      1.00       17.48      1.08797
   65   1.5783e-10   3.5795e-10      46.3075      23.5675     -4004.7703    3.549e-7    6.079e-7    3.549e-7      1.00       18.48     0.772970
   66    2.7453e-9    5.4888e-9      41.5410      21.1184     -4049.0904    6.170e-6    1.277e-5    6.170e-6      1.00       19.62     0.394484
   67   5.4584e-10    1.1841e-9      43.5262      22.1558     -4087.8243    1.069e-6    1.917e-6    1.069e-6      1.00       18.26     0.840509
   68    6.6131e-8    1.3898e-7      35.2194      17.9811     -4129.7073   0.0007560    0.001487   0.0007560      1.00       25.23    0.0318773
   69   1.4704e-10   3.0641e-10      43.7805      22.2693     -4162.0279    2.005e-7    3.828e-7    2.005e-7      1.00       17.00     0.569446
   70    3.6935e-9    9.2803e-9      40.6008      20.7623     -4206.5743    2.682e-6    4.973e-6    2.682e-6      1.00       13.65     0.325688
   71    5.2769e-9    1.0225e-8      40.4805      20.5721     -4244.4864    1.530e-5    3.482e-5    1.530e-5      1.00       18.84     0.359342
   72    3.3222e-9    6.4615e-9      40.6340      20.6524     -4281.9447    2.256e-6    4.047e-6    2.256e-6      1.00       16.08     0.632095
   73   6.6598e-10    1.4353e-9      41.6143      21.1927     -4320.3248    6.643e-7    1.121e-6    6.643e-7      1.00       15.88     0.128877
   74    9.8248e-9    2.0536e-8      39.0461      19.8924     -4361.8164    2.445e-6    4.464e-6    2.445e-6     0.996       9.347     0.238010
   75    2.1440e-9    4.1234e-9      40.5609      20.6056     -4397.9559    1.451e-6    2.763e-6    1.451e-6      1.00       14.61    -0.273793
   76    4.0062e-7    6.3101e-7      32.5152      16.4860     -4437.2230    5.242e-5    9.566e-5    5.242e-5    -0.997       10.39     0.559761
   77    3.3133e-8    5.8508e-8      35.8070      18.1908     -4466.2293    9.542e-6    1.323e-5    9.542e-6      1.00       13.84     0.611801
   78    8.7956e-9    1.7183e-8      36.6949      18.6805     -4500.1061    4.459e-6    6.647e-6    4.459e-6      1.00       14.13    -0.162617
   79    9.1492e-6    1.8903e-5      25.2511      12.9899     -4536.5344     0.05068     0.06115     0.05068     -1.00       23.96     0.493765
   80    8.2306e-7    1.4749e-6      30.5924      15.5891     -4559.0125   0.0002273   0.0004211   0.0002273     0.999       12.33     0.498026
   81    4.0911e-8    8.5517e-8      34.7196      17.7309     -4586.4496    4.913e-5    7.782e-5    4.913e-5      1.00       16.14     0.404823
   82    3.9491e-8    7.8460e-8      35.7570      18.2220     -4619.7360    3.738e-5    7.124e-5    3.738e-5      1.00       15.44    0.0531091
   83    3.0450e-8    4.6520e-8      35.5883      18.0037     -4653.1439    7.671e-6    1.374e-5    7.671e-6     0.999       12.67    -0.398404
   84    9.9635e-7    1.5977e-6      29.8796      15.1756     -4687.3345    1.835e-5    2.930e-5    1.835e-5    -0.926       3.945   -0.0999366
   85    1.2971e-6    2.3152e-6      28.7969      14.6872     -4714.5006   0.0002283   0.0003048   0.0002283     0.999       11.46    -0.251423
   86   0.00016934   0.00028933      20.2687      10.4012     -4741.0320      0.1022      0.1146      0.1022      1.00       18.57    -0.495660
   87    8.4869e-8    1.4770e-7      31.0893      15.8267     -4757.8636    6.989e-5   0.0001043    6.989e-5      1.00       15.58     0.278816
   88    1.0418e-5    1.9025e-5      25.3479      12.9762     -4789.8738   0.0006410    0.001115   0.0006410    -0.990       7.809     0.459939
   89    3.2493e-6    5.3959e-6      27.3823      13.9458     -4812.2156    0.002457    0.003786    0.002457      1.00       15.67     0.348744
   90    1.1907e-6    2.6446e-6      28.7423      14.7713     -4836.9825    0.001357    0.002058    0.001357      1.00       16.53     0.336616
   91    3.1092e-6    4.4917e-6      27.8094      14.0890     -4863.4665    0.003487    0.006949    0.003487      1.00       18.15     0.140571
   92    6.9775e-7    1.1205e-6      29.7877      15.1332     -4888.4609   0.0001697   0.0002233   0.0001697      1.00       13.91     0.606612
   93    1.0271e-6    1.5566e-6      27.5317      13.9729     -4916.3380   0.0001364   0.0001850   0.0001364     0.999       12.11   -0.0860669
   94   0.00070681    0.0010767      17.6189      9.01916     -4943.4998      0.1577      0.1724      0.1577      1.00       15.52    -0.422805
   95   0.00010132   0.00017258      20.3632      10.4472     -4957.5884     0.05327     0.06781     0.05327     -1.00       16.78    -0.235257
   96   0.00022930   0.00036430      18.8282      9.64679     -4975.4503     0.08710     0.09390     0.08710      1.00       18.21     0.422210
   97    5.1370e-6    7.4516e-6      25.5317      12.9566     -4991.7483    0.001455    0.001987    0.001455      1.00       14.56      1.01342
   98   0.00093022    0.0012472      16.4602      8.37596     -5015.7344     0.06794     0.08316     0.06794    -0.999       13.01    -0.300897
   99    0.0056253    0.0093147      12.4627      6.48504     -5029.4014     0.09722     0.09765     0.09722     0.999       12.14     0.566945
  100    0.0010372    0.0014635      16.5431      8.44502     -5039.2580      0.1208      0.1642      0.1208    -0.999       11.72     0.658568
  101    2.0051e-5    3.0706e-5      21.7695      11.0976     -5052.6562   0.0006749   0.0008029   0.0006749     0.988       7.121   -0.0359606
  102    0.0013807    0.0019008      15.5360      7.93037     -5073.8645      0.1405      0.1533      0.1405      1.00       14.14     0.998680
  103    0.0018314    0.0026816      14.8395      7.61118     -5086.7151    0.008848     0.01054    0.008830     0.480      0.3067     0.293133
  104    0.0039776    0.0060375      13.8733      7.14601     -5098.9391      0.3011      0.3359      0.3011     0.998       11.28     0.377027
  105   0.00017140   0.00026002      18.2824      9.35361     -5109.5760     0.02633     0.03379     0.02633     0.999       12.24     0.839357
  106   0.00047268   0.00075100      17.5121      8.98875     -5126.5022     0.06515     0.08336     0.06515     0.999       12.09     0.497768
  107   0.00017733   0.00025044      18.9083      9.62851     -5141.3534     0.03263     0.04322     0.03263     0.999       12.78     0.510399
  108    0.0030880    0.0038417      14.0103      7.11510     -5158.2832     0.06421     0.07815     0.06421     0.995       9.034     0.301700
  109     0.043040     0.065186      8.75782      4.58588     -5169.6253      0.3094      0.3105      0.3094    -0.992       7.992    -0.270343
  110   0.00037423   0.00060913      17.4995      8.99208     -5175.5014     0.05042     0.06838     0.05042    -0.998       10.77    -0.411260
  111   0.00048035   0.00056790      17.4326      8.80269     -5190.7956     0.05059     0.06941     0.05059     0.999       13.18     0.948685
  112      0.18869      0.25167      6.38575      3.33879     -5205.9101      0.1755      0.1803      0.1755     0.967       5.173      1.13747
  113    0.0037095    0.0046770      11.9544      6.09352     -5208.9574     0.02610     0.03002     0.02610     0.932       3.883    0.0864272
  114     0.080629      0.11323      8.17407      4.25746     -5219.9194      0.3710      0.3795      0.3710     0.940       3.955     0.417547
  115    0.0023315    0.0033682      13.1819      6.77820     -5224.6156      0.1120      0.1316      0.1120     0.996       9.505     0.782109
  116    0.0024629    0.0035536      13.9137      7.14113     -5236.3702      0.1234      0.1454      0.1234     0.996       9.303     0.362401
  117    0.0073417    0.0084501      12.0016      6.07173     -5248.0164      0.1049      0.1252      0.1049     0.986       7.158     0.230074
  118      0.24116      0.33019      5.68973      3.00063     -5257.7042      0.4719      0.4764      0.4719    -0.949       4.330    -0.785507
  119    0.0068775    0.0091594      11.8605      6.07176     -5260.2346      0.1786      0.2231      0.1786    -0.990       7.732    -0.635692
  120     0.031685     0.039632      9.19944      4.71337     -5269.9071      0.2557      0.2696      0.2557     0.992       8.157     0.748043
  121      0.10398      0.13180      6.91589      3.57647     -5276.5871      0.4990      0.5251      0.4990    -0.964       5.162   -0.0242351
  122      0.11733      0.16994      6.81041      3.59089     -5280.8771      0.1888      0.2436      0.1888    -0.171      0.1039     0.238956
  123    0.0084181     0.010529      11.7910      6.00787     -5284.7922      0.3823      0.4312      0.3823     0.994       8.863     0.215737
  124       1.3019       1.5470      2.29026      1.23105     -5294.1232      0.1563      0.1684      0.1563     0.770       1.622    -0.187773
  125    0.0020775    0.0025399      12.4793      6.34399     -5293.4231     0.06702     0.08002     0.06702     0.994       8.693     0.571796
  126      0.81251      0.94386      3.64571      1.89778     -5305.5753      0.3711      0.3860      0.3711     0.850       2.415   0.00488156
  127       1.4222       1.6731      2.05269      1.10800     -5305.8407      0.5897      0.6090      0.5897    -0.701       1.220     0.223960
  128      0.10934      0.15178      6.12839      3.22788     -5304.9738      0.2064      0.2680      0.2064    -0.250      0.1967   -0.0991076
  129     0.040308     0.047134      8.31480      4.23466     -5309.0724      0.1844      0.2335      0.1844    -0.853       2.720    -0.344900
  130      0.94816       1.0945      3.34911      1.74679     -5315.3383      0.5913      0.6375      0.5913    -0.402      0.3519     0.350532
  131     0.043061     0.060588      7.67815      4.01130     -5315.3013      0.3803      0.4007      0.3803     0.971       5.389     0.463736
  132       1.4772       1.5672      2.49811      1.27898     -5321.2501      0.6961      0.7668      0.6961     0.700       1.298     0.246061
  133     0.014432     0.019225      9.88124      5.08146     -5320.4106      0.4620      0.5077      0.4620    -0.993       8.271    -0.788358
  134       1.4522       1.6977      1.72306     0.939995     -5328.6005      0.1261      0.1381      0.1261     0.740       1.432     0.190570
  135       2.1788       2.2363      1.38558     0.707295     -5327.6981      0.3938      0.4296      0.3938     0.608      0.9101     0.886105
  136       2.0026       2.1595      1.60604     0.841126     -5326.1145       1.016       1.073       1.015     0.196     0.05540     0.253299
  137      0.20252      0.24804      5.16967      2.68765     -5324.6502      0.7249      0.7452      0.7249     0.948       4.377     0.590926
  138       1.5505       1.7377      1.73214     0.923425     -5327.6412      0.3981      0.4265      0.3981     0.709       1.280     0.197022
  139       1.4595       1.6220      1.69694     0.902555     -5326.6501      0.4211      0.4535      0.4211     0.731       1.423     0.653257
  140      0.73993      0.81127      3.23949      1.66816     -5325.7884      0.7055      0.7492      0.7055     0.871       2.767      1.32227
  141       1.3743       1.5486      1.67045     0.895004     -5326.2988      0.8854      0.9293      0.8854    -0.374      0.2771    0.0398140
  142       3.4616       3.4947     0.778504     0.393576     -5325.5434       1.225       1.303       1.225    -0.224      0.1206    -0.316158
  143     0.053949     0.072941      5.09871      2.70384     -5323.0504      0.2704      0.2856      0.2704     0.906       3.147     0.425627
  144       3.6428       3.7522     0.915898     0.472744     -5328.5883      0.9924       1.088      0.9924    -0.151     0.06867  -0.00391122
  145       3.0955       3.1332     0.370206     0.191683     -5325.9731      0.7615      0.8343      0.7615    -0.193     0.06490     0.296074
  146       4.1002       4.1343     0.279704     0.145163     -5323.7011       1.126       1.181       1.126    0.0419    0.006232     0.814351
  147       2.6409       2.7729     0.673731     0.362519     -5320.8708       1.474       1.510       1.474   -0.0750     0.01139     0.712995
  148      0.89845       1.0136      1.80400     0.964315     -5318.8798      0.9691       1.040      0.9691     0.207     0.05793     0.701265
  149       1.5274       1.6986      1.69544     0.901745     -5318.9733       1.203       1.297       1.203     0.102    0.008435     0.512226
  150       3.3983       3.6255      1.08769     0.577143     -5318.0200       1.846       1.949       1.846     0.445      0.3870     0.857474
  151      0.87219      0.87192      1.67644     0.838296     -5315.5088      0.7638      0.8047      0.7638    0.0999     0.02139    0.0714691
  152       2.0490       2.1212     0.977345     0.505826     -5315.7826       1.252       1.274       1.252    -0.413      0.3512   -0.0816863
  153       2.1435       2.2541     0.889085     0.469574     -5314.3133       1.348       1.374       1.348    -0.382      0.3012   -0.0683439
  154       3.7876       3.8616     0.620879     0.319812     -5312.7380       1.843       1.869       1.843    -0.330      0.2346    -0.247900
  155       2.4326       2.5612      1.00636     0.530561     -5310.0552       1.673       1.715       1.673     0.528      0.6107      1.04448
  156       3.1883       3.2080     0.591840     0.299072     -5308.2258       1.698       1.783       1.698    0.0574    0.004345    0.0539051
  157      0.59913      0.61737      1.58314     0.805404     -5305.9007      0.7553      0.7781      0.7553    -0.470      0.4701    -0.247138
  158       4.7056       4.7086     0.202013     0.101799     -5306.8953       1.192       1.226       1.192     0.142     0.04353     0.395270
  159       3.8824       3.9331     0.285592     0.149331     -5303.7971       1.723       1.737       1.722    -0.208     0.08450    0.0344970
  160       3.6286       3.6647     0.251748     0.131101     -5301.0712       1.761       1.770       1.761    -0.109     0.02465     0.186404
  161       1.7855       1.7908     0.744421     0.373215     -5298.4836       1.433       1.455       1.433    -0.397      0.3524    -0.197993
  162       4.8795       4.8846     0.171692    0.0868090     -5297.3212       1.762       1.779       1.762    0.0554    0.005664     0.385651
  163       1.7007       1.6998     0.466568     0.234292     -5294.1501       1.337       1.364       1.337    0.0572    0.006486     0.444964
  164       4.6905       4.7080     0.316330     0.159984     -5293.0885       2.197       2.220       2.197    -0.242      0.1177   -0.0368967
  165       4.0300       4.0560     0.230997     0.118844     -5289.9937       2.100       2.115       2.099    -0.109     0.02208    0.0966575
  166       1.0574       1.0906     0.892557     0.461071     -5287.1997       1.185       1.198       1.185    -0.400      0.3414    -0.185025
  167       3.3742       3.4096     0.302336     0.156219     -5287.0572       1.364       1.371       1.364    -0.241      0.1161    -0.103911
  168       4.3628       4.3775     0.401452     0.201944     -5284.6145       1.934       1.939       1.934    -0.357      0.2730    -0.417191
  169       2.6171       2.6161     0.506879     0.252594     -5281.6649       1.522       1.533       1.522    -0.374      0.3042    -0.372338
  170       5.6444       5.6611     0.235626     0.119911     -5279.7411       1.932       1.954       1.932     0.261      0.1384     0.672072
  171       1.0180       1.0310     0.838284     0.428446     -5276.2768       1.142       1.168       1.142     0.411      0.3575     0.790590
  172       3.4573       3.4579     0.379218     0.190249     -5276.2285       1.903       1.923       1.903    -0.142     0.04237     0.399502
  173       3.9684       3.9668     0.236354     0.118629     -5273.7473       2.183       2.206       2.183    0.0119   0.0003131     0.509777
  174       5.1171       5.1262     0.180535    0.0913654     -5270.9910       2.634       2.651       2.634   -0.0896     0.01523     0.203172
  175       1.2657       1.2760     0.554463     0.283275     -5267.7241       1.330       1.338       1.329     0.189     0.07481     0.593266
  176       2.9961       3.0279     0.384041     0.197617     -5267.2447       1.806       1.814       1.806    -0.226      0.1023     0.206109
  177       3.2146       3.2389     0.707450     0.356779     -5265.0395       2.161       2.167       2.161    -0.479      0.5200    -0.589345
  178       4.2849       4.3023     0.262239     0.133827     -5262.6966       1.916       1.919       1.915     0.234      0.1112     0.596516
  179       3.8236       3.8354     0.181380    0.0925749     -5259.7823       2.225       2.249       2.225   -0.0263    0.001857     0.261226
  180       3.6698       3.6759     0.153396    0.0780088     -5257.0969       2.120       2.152       2.120   0.00933    6.280e-5     0.340300
  181       1.7310       1.7550     0.612696     0.315641     -5254.4949       1.607       1.635       1.607     0.418      0.3709      1.02660
  182       5.6105       5.6196     0.212086     0.107322     -5253.3838       2.800       2.839       2.800   -0.0340    0.002846     0.535324
  183       3.0195       3.0189     0.255017     0.128139     -5249.9329       2.146       2.181       2.146    0.0199   0.0006957     0.460944
  184       3.5889       3.5894     0.194199    0.0975280     -5247.7229       2.171       2.195       2.171   -0.0897     0.01565     0.258901
  185       3.1402       3.1384     0.256248     0.129107     -5245.1671       2.019       2.035       2.019     0.216     0.09735     0.848583
  186       3.8412       3.8468     0.181579    0.0921297     -5242.8791       2.403       2.410       2.402   -0.0394    0.002861     0.484248
  187       3.1179       3.1295     0.195708     0.100235     -5240.1860       2.141       2.144       2.139   -0.0875     0.01508     0.339563
  188       5.5906       5.6042     0.117225    0.0600084     -5237.9080       2.713       2.713       2.711    -0.111     0.02487     0.197210
  189       1.6358       1.6422     0.660655     0.331579     -5234.4634       1.746       1.749       1.745    -0.437      0.4240    -0.316030
  190       2.6944       2.6958      1.13666     0.569984     -5233.4752       1.739       1.737       1.737     0.631       1.016      1.28030
  191       2.4152       2.4238     0.508368     0.256534     -5231.4924       1.908       1.914       1.906    0.0164   0.0004409     0.345850
