# rtp1_a1 axisN (lane A1.2): the resolution axis at fixed window
# author claude:opus; driver zst/tools/rtp1_a1.c on libzst (FLINT 3.0.1)
# fixed: x = lambda^2 = 13, window L = log x = 2.56494935746154, prime powers k <= 13 enter, prec = 1000 bits
# varied: N = 1..200 (window matrix on |n| <= N is the leading block of the one on |n| <= N+1)
# reference: benchmark saturation N ~ 7.5 x = 97.5
# cross-lane reference (Conventions): zst (a_n, b_n) at x = 13, prime powers <= 13
#   n = 0  a_n = 0.0453328442159587070934518363426  b_n = 0
#   n = 1  a_n = 0.0465118895436779793116060710601  b_n = 0.0457203442394000540357853654912
#   n = 2  a_n = 0.0506210483629745920069696920272  b_n = 0.0939818448885741857990582354453
#   n = 3  a_n = 0.0603025794859511884689695760125  b_n = 0.148752677000255263998143181043
# ball LDL^T of even block (size 202): all pivots certified positive; odd block (size 201): all pivots certified positive
#   (so the window form is certified positive definite on |n| <= N for every N <= 201)
#   worst relative accuracy of the pivots: 493 bits (of 1000; error control of every column below)
#
# Columns (row N = the bordering |n| <= N -> |n| <= N+1, new modes +-(N+1)):
#   s_e, s_o   Schur complements of the new even / odd basis vector (LDL pivots)
#   dI         Delta I_N = log(d_e/s_e) + log(d_o/s_o), d = new diagonal entries (nats)
#   dI_e       even part of dI
#   logdet     log det of the window matrix on |n| <= N (size 2N+1)
#   r_e, r_o   half-widths of the admissible interval of b_{N+1} given a_{N+1} and |n| <= N (Loewner-structured)
#   r_j        half-width of the intersection of the two intervals; tau_j = truth position in it (-1..1)
#   dIs        log-det gain of the truth over the structured MaxEnt point (joint maximiser)
#   b          b_{N+1} (for scale)
    N          s_e          s_o           dI         dI_e         logdet         r_e         r_o         r_j     tau_j         dIs            b
    1    1.2982e-7    4.3205e-6      20.2641      13.5304     -21.756140   0.0002084    0.002988   0.0002084      1.00       13.39    0.0939818
    2    4.7689e-9    1.2197e-7      28.3365      16.9529     -49.965435    1.291e-5   0.0001477    1.291e-5      1.00       15.27     0.148753
    3   4.1262e-10    8.5342e-9      34.8040      19.6581     -85.046053    1.885e-6    2.280e-5    1.885e-6      1.00       16.97     0.219885
    4   4.0900e-10    4.6247e-9      37.9759      20.4924     -125.23374    1.020e-6    1.200e-5    1.020e-6      1.00       16.97     0.358836
    5    1.4308e-9    1.8700e-8      39.7664      21.1526     -166.04290    7.782e-7    7.148e-6    7.782e-7    -0.999       10.43    -0.211336
    6   4.1113e-11   3.8594e-10      42.6089      22.6144     -204.20268    1.113e-7    9.260e-7    1.113e-7      1.00       16.74     0.301805
    7   9.3393e-11   7.5357e-10      43.6873      22.9909     -249.79271    2.547e-7    1.657e-6    2.547e-7      1.00       17.79     0.672832
    8   2.2745e-10    1.9124e-9      43.1416      22.6202     -293.89311    2.708e-7    1.456e-6    2.708e-7      1.00       14.11    -0.210627
    9   6.5526e-10    4.1608e-9      42.2328      22.0683     -336.17211    3.125e-6    1.907e-5    3.125e-6      1.00       20.02     0.678615
   10   3.7520e-11   2.9477e-10      44.1957      23.1971     -376.61567    9.220e-8    4.315e-7    9.220e-8      1.00       16.50     0.314113
   11   2.0322e-10   9.8279e-10      44.0218      22.8480     -422.56663    4.598e-7    2.760e-6    4.598e-7      1.00       18.26     0.953776
   12   9.0901e-10    4.7375e-9      41.4904      21.5874     -465.62398    1.586e-6    5.791e-6    1.586e-6      1.00       16.89     0.461116
   13   2.0867e-10    1.2199e-9      43.0482      22.3980     -505.61040    2.619e-7    1.020e-6    2.619e-7      1.00       14.81    -0.141001
   14   4.7987e-10    2.0958e-9      42.8240      22.1746     -548.42518    1.498e-6    6.894e-6    1.498e-6      1.00       19.06     0.763716
   15   9.7649e-10    3.8076e-9      40.1349      20.7606     -589.86601    8.946e-7    3.098e-6    8.946e-7      1.00       15.62     0.204406
   16    4.6465e-9    2.5226e-8      38.5104      20.0981     -629.99932    3.468e-6    9.978e-6    3.468e-6      1.00       12.89    -0.127163
   17    1.0943e-9    5.0388e-9      41.2911      21.4008     -666.68186    3.479e-7    1.243e-6    3.479e-7     0.996       8.765    -0.322684
   18   8.1122e-10    2.3803e-9      40.8150      20.9761     -706.42107    8.343e-7    3.184e-6    8.343e-7      1.00       16.71     0.584937
   19    3.3497e-8    1.1135e-7      35.7141      18.4612     -747.20959    2.465e-5    5.754e-5    2.465e-5      1.00       15.53     0.247396
   20    1.2310e-8    3.2188e-8      35.8221      18.3975     -780.43200    5.144e-6    1.315e-5    5.144e-6      1.00       14.13     0.147374
   21    2.9788e-8    1.0002e-7      34.6224      17.9052     -815.89652    6.191e-6    1.203e-5    6.191e-6     0.998       10.71    -0.458754
   22    4.3157e-6    1.2262e-5      25.7938      13.4234     -849.34361     0.01717     0.03457     0.01717      1.00       22.62     0.289165
   23    6.4120e-7    1.9694e-6      29.1900      15.1702     -873.00584   0.0009744    0.002231   0.0009744      1.00       18.21     0.829369
   24    1.9976e-6    4.7674e-6      27.4246      14.1464     -900.40353   0.0007146    0.001853   0.0007146     -1.00       13.93   -0.0575047
   25    1.2145e-7    4.0091e-7      30.7795      16.0165     -925.78081   0.0001316   0.0002492   0.0001316      1.00       16.30     0.820486
   26    1.4990e-6    4.3627e-6      28.0765      14.5779     -956.43407    0.001278    0.003422    0.001278      1.00       15.73     0.474279
   27    1.2136e-6    2.8986e-6      28.1711      14.5285     -982.18720   0.0007597    0.001808   0.0007597      1.00       15.42     0.526711
   28    3.0877e-6    6.0266e-6      26.3471      13.5138     -1008.5604   0.0004164   0.0008055   0.0004164     0.999       12.26     0.386181
   29    1.7796e-6    4.3918e-6      25.8102      13.3534     -1033.2678   0.0002980   0.0004198   0.0002980     0.999       11.51    -0.113789
   30   0.00024573   0.00054583      18.5611      9.68358     -1058.8427     0.09664      0.1486     0.09664     -1.00       14.86     0.486824
   31    4.5017e-5    9.8745e-5      21.2539      11.0232     -1074.6672    0.006189     0.01097    0.006189     0.999       11.79     0.301904
   32    6.7894e-6    1.4238e-5      23.1386      11.9373     -1093.8987    0.001271    0.001993    0.001271     0.999       11.75   -0.0799298
   33   0.00039375   0.00077437      17.4347      9.05728     -1116.9584     0.02440     0.04318     0.02440    -0.996       9.452     0.201657
   34   0.00015629   0.00030549      18.3391      9.50349     -1131.9616    0.008564     0.01184    0.008564     0.995       8.633   -0.0843733
   35    0.0012154    0.0025426      15.5706      8.15507     -1148.8190      0.1458      0.1934      0.1458     0.999       11.42     0.106803
   36    3.0980e-5    6.0232e-5      19.6682      10.1725     -1161.5063    0.004291    0.006821    0.004291     0.999       11.32     0.177608
   37    0.0014852    0.0022918      14.7207      7.57761     -1181.6058    0.004447    0.006433    0.004447     0.375     0.08892    0.0413931
   38     0.034104     0.058378      9.19052      4.86439     -1194.1964      0.2901      0.2991      0.2901     0.992       7.674    0.0630792
   39    0.0011548    0.0021359      14.4578      7.54563     -1200.4155      0.1057      0.1341      0.1057     0.999       11.54     0.802462
   40   0.00095620    0.0019288      14.9601      7.83725     -1213.3282      0.1029      0.1359      0.1029     0.999       11.64     0.625568
   41   0.00086710    0.0013358      15.5017      7.97174     -1226.5317     0.08701      0.1250     0.08701     0.999       11.78     0.506132
   42      0.65135      0.93367      3.02080      1.69194     -1240.2002      0.1288      0.1445      0.1288     0.861       2.350     0.227829
   43    0.0048295    0.0075663      12.0586      6.25281     -1240.6976      0.2388      0.3173      0.2388    -0.996       9.329    -0.109112
   44     0.011922     0.016992      10.3890      5.38177     -1250.9146     0.09647      0.1155     0.09647     0.989       7.346      1.16514
   45     0.082786      0.12258      6.73622      3.56344     -1259.4190      0.2235      0.2945      0.2235    -0.806       2.108    -0.122774
   46      0.14415      0.20789      5.99567      3.18220     -1264.0095      0.2502      0.2829      0.2500     0.599      0.6233     0.212687
   47     0.028213     0.040414      8.43533      4.39977     -1267.5172      0.2800      0.3092      0.2800     0.972       5.459     0.264129
   48     0.015697     0.026944      9.37478      4.95823     -1274.2937      0.1776      0.1995      0.1776     0.973       5.388    0.0754955
   49      0.59990      0.72614      3.64789      1.91982     -1282.0620      0.4707      0.5361      0.4707     0.825       2.104    0.0798904
   50     0.040854     0.056048      7.87930      4.09315     -1282.8931      0.4725      0.5000      0.4725    -0.986       6.932    -0.576844
   51      0.73417      0.90388      2.61504      1.41381     -1288.9723      0.1634      0.1753      0.1634     0.843       2.275     0.361369
   52       2.3973       2.5945     0.827939     0.456273     -1289.3824      0.4637      0.4944      0.4637    -0.349      0.2072     0.553553
   53      0.23309      0.35665      4.20073      2.31522     -1287.5547      0.3854      0.4400      0.3854     0.590      0.5899     0.279813
   54       2.5788       2.5907     0.870624     0.436975     -1290.0420      0.6293      0.7419      0.6293   -0.0159    0.002645    -0.142527
   55      0.14252      0.20727      4.85946      2.62495     -1288.1427      0.5019      0.5506      0.5019     0.946       4.153     0.868584
   56       2.2708       2.3317      1.14562     0.588379     -1291.6648      0.7476      0.8404      0.7476     0.461      0.4564     0.546108
   57       2.0900       2.2602     0.794034     0.437836     -1289.9980       1.014       1.056       1.014    -0.161     0.04197     0.312362
   58      0.53874      0.66315      2.16412      1.18805     -1288.4454      0.6008      0.7014      0.6008    -0.115     0.05350     0.220065
   59       2.6544       2.7989     0.885360     0.469921     -1289.4747       1.247       1.328       1.247    -0.148     0.06102     0.184745
