# rtp2_ellcurve; author codex:gpt-6-astra; FLINT 3.0.1; certified forms/eigenpairs; PARI comparisons approximate
# curve=11a1 C=11 rank=0 root_number=1; gamma (Q,d,mu)=(1/(2pi),1,1); no poles
# CONTROL_SPECTRUM object=11a1 x=13 N=60 prec=384; gamma includes conductor shift; no atoms
SPECTRUM object=11a1 block=E index=47 eigenvalue=[8.18583423588 +/- 6.89e-12] lower_count=46 upper_count=47 certified=1
SPECTRUM object=11a1 block=E index=48 eigenvalue=[8.22878903014 +/- 7.74e-12] lower_count=47 upper_count=48 certified=1
SPECTRUM object=11a1 block=E index=49 eigenvalue=[8.27086550556 +/- 4.46e-12] lower_count=48 upper_count=49 certified=1
SPECTRUM object=11a1 block=E index=50 eigenvalue=[8.31210397232 +/- 5.70e-12] lower_count=49 upper_count=50 certified=1
SPECTRUM object=11a1 block=E index=51 eigenvalue=[8.35254359862 +/- 8.46e-12] lower_count=50 upper_count=51 certified=1
SPECTRUM object=11a1 block=E index=52 eigenvalue=[8.39222305076 +/- 8.53e-12] lower_count=51 upper_count=52 certified=1
SPECTRUM object=11a1 block=E index=53 eigenvalue=[8.43118139210 +/- 8.03e-12] lower_count=52 upper_count=53 certified=1
SPECTRUM object=11a1 block=E index=54 eigenvalue=[8.46945946289 +/- 4.07e-12] lower_count=53 upper_count=54 certified=1
SPECTRUM object=11a1 block=E index=55 eigenvalue=[8.50710219679 +/- 6.68e-12] lower_count=54 upper_count=55 certified=1
SPECTRUM object=11a1 block=E index=56 eigenvalue=[8.54416290091 +/- 6.34e-12] lower_count=55 upper_count=56 certified=1
SPECTRUM object=11a1 block=E index=57 eigenvalue=[8.58071209983 +/- 6.87e-12] lower_count=56 upper_count=57 certified=1
SPECTRUM object=11a1 block=E index=58 eigenvalue=[8.61685868598 +/- 5.54e-12] lower_count=57 upper_count=58 certified=1
SPECTRUM object=11a1 block=E index=59 eigenvalue=[8.65281281492 +/- 5.05e-12] lower_count=58 upper_count=59 certified=1
SPECTRUM object=11a1 block=E index=60 eigenvalue=[8.68916440089 +/- 7.40e-12] lower_count=59 upper_count=60 certified=1
SPECTRUM object=11a1 block=E index=61 eigenvalue=[8.80027675614 +/- 4.84e-12] lower_count=60 upper_count=61 certified=1
SPECTRUM object=11a1 block=O index=1 eigenvalue=[0.06018464938 +/- 5.54e-12] lower_count=0 upper_count=1 certified=1
SPECTRUM object=11a1 block=O index=2 eigenvalue=[1.65720749535 +/- 5.41e-12] lower_count=1 upper_count=2 certified=1
SPECTRUM object=11a1 block=O index=3 eigenvalue=[2.54947957112 +/- 6.15e-12] lower_count=2 upper_count=3 certified=1
