# rtp1_a1 axisN (lane A1.2): the resolution axis at fixed window
# author claude:opus; driver zst/tools/rtp1_a1.c on libzst (FLINT 3.0.1)
# fixed: x = lambda^2 = 50, window L = log x = 3.91202300542815, prime powers k <= 50 enter, prec = 4200 bits
# varied: N = 1..520 (window matrix on |n| <= N is the leading block of the one on |n| <= N+1)
# reference: benchmark saturation N ~ 7.5 x = 375.0
# cross-lane reference (Conventions): zst (a_n, b_n) at x = 13, prime powers <= 13
#   n = 0  a_n = 0.0453328442159587070934518363426  b_n = 0
#   n = 1  a_n = 0.0465118895436779793116060710601  b_n = 0.0457203442394000540357853654912
#   n = 2  a_n = 0.0506210483629745920069696920272  b_n = 0.0939818448885741857990582354453
#   n = 3  a_n = 0.0603025794859511884689695760125  b_n = 0.148752677000255263998143181043
# ball LDL^T of even block (size 522): all pivots certified positive; odd block (size 521): all pivots certified positive
#   (so the window form is certified positive definite on |n| <= N for every N <= 521)
#   worst relative accuracy of the pivots: 247 bits (of 4200; error control of every column below)
#
# Columns (row N = the bordering |n| <= N -> |n| <= N+1, new modes +-(N+1)):
#   s_e, s_o   Schur complements of the new even / odd basis vector (LDL pivots)
#   dI         Delta I_N = log(d_e/s_e) + log(d_o/s_o), d = new diagonal entries (nats)
#   dI_e       even part of dI
#   logdet     log det of the window matrix on |n| <= N (size 2N+1)
#   r_e, r_o   half-widths of the admissible interval of b_{N+1} given a_{N+1} and |n| <= N (Loewner-structured)
#   r_j        half-width of the intersection of the two intervals; tau_j = truth position in it (-1..1)
#   dIs        log-det gain of the truth over the structured MaxEnt point (joint maximiser)
#   b          b_{N+1} (for scale)
    N          s_e          s_o           dI         dI_e         logdet         r_e         r_o         r_j     tau_j         dIs            b
   34   1.0309e-27   5.6125e-27      125.206      63.4570     -3333.7586   3.942e-23   1.658e-22   3.942e-23      1.00       25.03     0.846142
   35   1.1602e-28   6.1869e-28      123.641      62.7015     -3456.3427   2.043e-24   1.011e-23   2.043e-24      1.00       21.76     0.299380
   36   2.3000e-26   1.5484e-25      118.961      60.4354     -3583.3165   2.135e-21   1.050e-20   2.135e-21     -1.00       27.07     0.245964
   37   1.5791e-27   8.3445e-27      124.454      63.0596     -3699.4782   3.400e-23   2.140e-22   3.400e-23     -1.00       21.81   0.00251768
   38   1.3449e-29   8.0323e-29      128.665      65.2786     -3821.2393   2.746e-25   1.336e-24   2.746e-25      1.00       21.70     0.585213
   39   4.0961e-29   2.0385e-28      129.893      65.7690     -3952.4094   1.155e-24   6.349e-24   1.155e-24      1.00       23.41      1.17108
   40   1.0846e-28   6.8461e-28      128.559      65.1990     -4081.5345   3.535e-24   1.619e-23   3.535e-24      1.00       22.43    -0.184681
   41   1.6406e-28   1.1528e-27      128.588      65.2659     -4208.4744   1.011e-24   5.698e-24   1.011e-24      1.00       15.65    -0.467088
   42   5.2821e-29   2.6188e-28      130.899      66.2572     -4334.4794   2.893e-24   1.889e-23   2.893e-24      1.00       25.02     0.981646
   43   1.5882e-29   6.7912e-29      130.567      66.0083     -4463.0997   2.521e-25   1.164e-24   2.521e-25      1.00       21.51   -0.0565045
   44   2.0326e-28   1.0151e-27      128.640      65.1228     -4594.2714   2.081e-24   8.400e-24   2.081e-24     -1.00       19.77    -0.275121
   45   4.6825e-30   2.4835e-29      130.528      66.1285     -4720.1893   1.497e-25   6.891e-25   1.497e-25      1.00       23.00     0.331004
   46   4.3057e-28   1.8824e-27      127.248      64.3666     -4853.5883   2.040e-23   1.013e-22   2.040e-23      1.00       25.90     0.937162
   47   1.2610e-26   6.7215e-26      120.503      61.0915     -4978.1380   2.611e-21   1.064e-20   2.611e-21      1.00       30.65     0.690761
   48   5.6498e-29   2.3000e-28      130.447      65.9369     -5095.7352   1.412e-24   7.026e-24   1.412e-24      1.00       23.21      1.36161
   49   1.1719e-29   5.6902e-29      132.046      66.8141     -5224.4180   1.676e-25   6.338e-25   1.676e-25      1.00       20.66    0.0571441
   50   7.2532e-30   3.7860e-29      132.873      67.2774     -5356.0706   3.400e-25   1.538e-24   3.400e-25      1.00       24.22     0.892345
   51   5.1118e-29   2.3092e-28      130.912      66.2083     -5488.6103   8.760e-25   4.279e-24   8.760e-25      1.00       21.23    -0.216255
   52   7.7442e-29   3.5434e-28      130.559      66.0383     -5617.3892   3.871e-25   1.590e-24   3.871e-25      1.00       15.92    -0.351731
   53   3.5279e-29   1.4682e-28      131.395      66.4195     -5745.3246   1.077e-24   4.631e-24   1.077e-24      1.00       23.78      1.16425
   54   2.0797e-28   7.6262e-28      129.090      65.1969     -5874.9272   4.207e-24   1.641e-23   4.207e-24      1.00       22.91     0.498311
   55   7.6251e-30   3.9751e-29      132.273      66.9605     -6001.1081   1.536e-25   5.250e-25   1.536e-25      1.00       21.35   -0.0824981
   56   6.6468e-30   2.9952e-29      133.442      67.4834     -6133.5491   2.699e-25   1.321e-24   2.699e-25      1.00       24.13     0.732379
   57   3.6178e-29   1.4572e-28      131.359      66.3724     -6266.4105   6.456e-25   2.733e-24   6.456e-25      1.00       21.49    -0.530203
   58   4.2318e-27   1.5874e-26      123.255      62.2891     -6395.9955   1.256e-22   4.799e-22   1.256e-22     -1.00       24.31     0.203047
   59   1.0029e-28   4.1404e-28      129.828      65.6200     -6516.1277   5.227e-25   1.803e-24   5.227e-25      1.00       16.69    -0.509470
   60   2.7931e-29   8.9227e-29      131.369      66.2731     -6643.6488   5.336e-25   2.071e-24   5.336e-25      1.00       22.81     0.791212
   61   3.3910e-29   1.6745e-28      130.936      66.2622     -6773.9830   6.099e-25   1.827e-24   6.099e-25      1.00       21.08    -0.535785
   62   1.0841e-27   4.0020e-27      125.792      63.5513     -6903.4937   8.147e-23   3.798e-22   8.147e-23      1.00       27.53     0.568303
   63   6.0631e-29   2.3490e-28      129.288      65.3313     -7026.3657   1.544e-24   5.374e-24   1.544e-24      1.00       23.13     0.914186
   64   1.5556e-28   7.2143e-28      128.753      65.1431     -7154.9568   4.561e-24   1.664e-23   4.561e-24      1.00       22.46    -0.133847
   65   1.6719e-28   6.1020e-28      129.023      65.1560     -7281.4837   2.268e-24   9.922e-24   2.268e-24      1.00       20.43    -0.587719
   66   7.7123e-29   3.0473e-28      130.540      65.9534     -7408.1059   2.490e-25   8.349e-25   2.490e-25      1.00       15.02    -0.839856
   67   6.5908e-30   2.5533e-29      131.554      66.4586     -7536.1962   1.830e-25   6.805e-25   1.830e-25      1.00       23.07     0.136295
   68   7.1250e-28   3.1438e-27      126.597      64.0442     -7669.2256   6.842e-23   2.518e-22   6.842e-23      1.00       27.41      1.08604
   69   1.0456e-28   3.8052e-28      129.720      65.5028     -7792.7588   1.100e-24   4.564e-24   1.100e-24      1.00       19.05    -0.616343
   70   2.5914e-28   8.5280e-28      128.620      64.9087     -7920.3226   8.923e-24   3.091e-23   8.923e-24      1.00       24.99     0.833952
   71   1.0885e-28   3.8758e-28      129.582      65.4307     -8046.1718   2.001e-24   6.218e-24   2.001e-24      1.00       22.71     0.957972
   72   1.8124e-29   6.8700e-29      131.130      66.2285     -8173.6770   4.693e-25   1.569e-24   4.693e-25      1.00       22.40    -0.199881
