# rtp1_a1 axisN (lane A1.2): the resolution axis at fixed window
# author claude:opus; driver zst/tools/rtp1_a1.c on libzst (FLINT 3.0.1)
# fixed: x = lambda^2 = 50, window L = log x = 3.91202300542815, prime powers k <= 50 enter, prec = 4200 bits
# varied: N = 1..520 (window matrix on |n| <= N is the leading block of the one on |n| <= N+1)
# reference: benchmark saturation N ~ 7.5 x = 375.0
# cross-lane reference (Conventions): zst (a_n, b_n) at x = 13, prime powers <= 13
#   n = 0  a_n = 0.0453328442159587070934518363426  b_n = 0
#   n = 1  a_n = 0.0465118895436779793116060710601  b_n = 0.0457203442394000540357853654912
#   n = 2  a_n = 0.0506210483629745920069696920272  b_n = 0.0939818448885741857990582354453
#   n = 3  a_n = 0.0603025794859511884689695760125  b_n = 0.148752677000255263998143181043
# ball LDL^T of even block (size 522): all pivots certified positive; odd block (size 521): all pivots certified positive
#   (so the window form is certified positive definite on |n| <= N for every N <= 521)
#   worst relative accuracy of the pivots: 247 bits (of 4200; error control of every column below)
#
# Columns (row N = the bordering |n| <= N -> |n| <= N+1, new modes +-(N+1)):
#   s_e, s_o   Schur complements of the new even / odd basis vector (LDL pivots)
#   dI         Delta I_N = log(d_e/s_e) + log(d_o/s_o), d = new diagonal entries (nats)
#   dI_e       even part of dI
#   logdet     log det of the window matrix on |n| <= N (size 2N+1)
#   r_e, r_o   half-widths of the admissible interval of b_{N+1} given a_{N+1} and |n| <= N (Loewner-structured)
#   r_j        half-width of the intersection of the two intervals; tau_j = truth position in it (-1..1)
#   dIs        log-det gain of the truth over the structured MaxEnt point (joint maximiser)
#   b          b_{N+1} (for scale)
    N          s_e          s_o           dI         dI_e         logdet         r_e         r_o         r_j     tau_j         dIs            b
  165   4.5740e-11   8.9422e-11      50.1417      25.4059     -17447.689    9.177e-5   0.0001547    9.177e-5     -1.00       43.08   -0.0758484
  166   3.8682e-16   7.6860e-16      72.9339      36.8095     -17494.634   5.644e-13   1.083e-12   5.644e-13     -1.00       14.94    -0.450099
  167   1.9306e-15   3.3398e-15      70.0383      35.2941     -17564.925   2.304e-11   4.374e-11   2.304e-11      1.00       24.16     0.620688
  168   1.2685e-14   2.5069e-14      66.2137      33.4483     -17632.139   4.314e-10   7.128e-10   4.314e-10      1.00       27.43     0.671672
  169   3.1260e-16   5.4736e-16      73.2955      36.9303     -17695.454   2.426e-12   4.591e-12   2.426e-12      1.00       21.84      1.40775
  170   2.9123e-16   5.5685e-16      71.9060      36.2802     -17766.297   1.383e-12   2.317e-12   1.383e-12      1.00       20.01     0.870136
  171   2.3711e-14   4.5327e-14      65.7432      33.1957     -17837.194   3.132e-10   5.720e-10   3.132e-10      1.00       23.46     0.114518
  172   3.2267e-15   6.0161e-15      68.7447      34.6855     -17899.292   2.978e-11   5.462e-11   2.978e-11      1.00       22.18      1.05760
  173   3.6531e-15   6.8610e-15      68.7552      34.6923     -17965.403   1.452e-11   2.616e-11   1.452e-11     -1.00       19.03    -0.283257
  174   5.5076e-17   1.1712e-16      73.0667      36.9170     -18031.259   5.382e-13   9.665e-13   5.382e-13      1.00       21.19     0.668439
  175   1.2528e-14   2.4860e-14      67.1635      33.9253     -18105.381   7.034e-13   1.065e-12   7.034e-13     0.672      0.5707      1.11444
  176   1.2193e-15   1.9971e-15      70.7932      35.6451     -18168.717   7.054e-12   1.345e-11   7.054e-12      1.00       20.71      1.15305
  177   1.9785e-15   3.4008e-15      69.2436      34.8943     -18236.904   3.178e-12   4.989e-12   3.178e-12      1.00       17.75     0.848299
  178   1.4382e-14   2.4241e-14      66.4651      33.4941     -18304.076   5.472e-11   8.811e-11   5.472e-11      1.00       19.99     0.476620
  179   5.7510e-15   1.0721e-14      67.5892      34.1072     -18367.299   2.758e-11   4.429e-11   2.758e-11      1.00       20.31     0.826623
  180   1.0331e-15   1.8625e-15      69.0585      34.8250     -18432.255   5.133e-12   9.113e-12   5.133e-12      1.00       19.70     0.273495
  181   8.8426e-15   1.5057e-14      66.7554      33.6434     -18500.678   1.561e-11   2.686e-11   1.561e-11      1.00       16.32    -0.305963
  182   9.8061e-14   1.7619e-13      62.3006      31.4432     -18564.864   8.363e-11   1.345e-10   8.363e-11      1.00       13.98   -0.0584438
  183   1.1806e-11   2.2361e-11      53.5730      27.1056     -18624.185    4.749e-7    8.118e-7    4.749e-7      1.00       28.10    -0.359541
  184   4.8329e-15   8.0620e-15      66.6987      33.6080     -18673.871   2.100e-11   3.810e-11   2.100e-11      1.00       19.76     0.979491
  185   7.8219e-15   1.4412e-14      66.2995      33.4553     -18739.286   2.150e-11   3.430e-11   2.150e-11      1.00       18.03   -0.0410778
  186   4.2077e-14   6.6407e-14      63.6628      32.0590     -18803.638   4.271e-11   7.455e-11   4.271e-11      1.00       15.27    -0.380244
  187   5.3434e-13   9.6770e-13      59.4181      30.0063     -18864.781   2.693e-10   3.935e-10   2.693e-10     0.999       11.42     0.363981
  188   5.3242e-14   9.1695e-14      62.0178      31.2802     -18920.702   1.515e-10   2.613e-10   1.515e-10      1.00       18.13    -0.200319
  189   1.9078e-12   3.4273e-12      57.1424      28.8645     -18981.287    1.941e-9    3.162e-9    1.941e-9      1.00       14.38     0.450998
  190   1.6716e-13   2.8687e-13      61.1245      30.8330     -19034.671    1.018e-9    1.742e-9    1.018e-9      1.00       20.73     0.561377
  191   7.0793e-15   1.3585e-14      64.3627      32.5073     -19092.970   2.975e-11   4.900e-11   2.975e-11      1.00       18.86    0.0203423
  192   1.2655e-12   2.1923e-12      57.3539      28.9528     -19157.482    1.762e-8    3.253e-8    1.762e-8      1.00       24.74      1.04131
  193   1.0222e-12   1.5012e-12      58.0473      29.2163     -19211.724   8.342e-10    1.366e-9   8.342e-10      1.00       14.36     0.454331
  194   6.6796e-13   1.1529e-12      58.2245      29.3856     -19266.557   8.165e-10    1.143e-9   8.165e-10      1.00       16.52     0.349159
  195   6.2185e-13   1.0844e-12      58.4694      29.5130     -19322.081    1.465e-9    2.377e-9    1.465e-9      1.00       18.17     0.211702
  196   1.1412e-13   2.0049e-13      60.2448      30.4032     -19377.737   3.670e-10   6.063e-10   3.670e-10      1.00       18.36    -0.361484
  197   2.2310e-12   3.5102e-12      56.5820      28.5177     -19436.776   2.214e-10   4.245e-10   2.214e-10    -0.960       5.231     0.118010
  198   4.7093e-13   7.7236e-13      57.8932      29.1928     -19489.980   4.529e-10   6.801e-10   4.529e-10      1.00       15.51    -0.537832
  199   1.7836e-10   3.0859e-10      47.7977      24.1735     -19546.254    2.525e-6    3.930e-6    2.525e-6     -1.00       24.85     0.623304
  200   3.6472e-12   6.5487e-12      55.1788      27.8823     -19590.600    1.511e-8    2.497e-8    1.511e-8      1.00       19.12     0.224705
  201   3.0033e-12   4.5903e-12      55.6264      28.0256     -19642.689    6.784e-9    1.169e-8    6.784e-9      1.00       18.89     0.211981
  202   3.3694e-13   5.4588e-13      56.7769      28.6287     -19695.327   4.206e-10   6.074e-10   4.206e-10      1.00       16.60    -0.185142
  203   1.6964e-11   2.6324e-11      52.0864      26.2628     -19752.282    2.401e-8    3.721e-8    2.401e-8     -1.00       16.40    -0.116582
  204   1.0966e-10   2.0881e-10      48.8459      24.7455     -19801.443    8.469e-8    1.284e-7    8.469e-8    -0.999       13.38     0.658526
  205   5.1593e-12   8.6825e-12      54.1582      27.3399     -19846.666    2.892e-8    5.234e-8    2.892e-8      1.00       20.13     0.449922
  206   1.1548e-12   1.8688e-12      55.5325      28.0064     -19898.126    3.037e-9    4.919e-9    3.037e-9      1.00       18.26    -0.194038
  207   4.5606e-10   7.0278e-10      46.5732      23.5026     -19952.619    1.100e-6    1.708e-6    1.100e-6      1.00       20.39    -0.352664
  208   1.5736e-12   2.3446e-12      53.9060      27.1547     -19995.203    2.217e-9    3.180e-9    2.217e-9      1.00       17.15     0.466545
  209   1.7828e-11   3.0634e-11      51.7930      26.1671     -20049.160    1.619e-8    2.279e-8    1.619e-8      1.00       14.62   -0.0339479
  210   3.8897e-11   6.0668e-11      50.3050      25.3746     -20098.119    5.124e-8    8.337e-8    5.124e-8      1.00       16.26    -0.103686
  211   1.2522e-10   2.0855e-10      48.4267      24.4684     -20145.614    3.334e-7    4.948e-7    3.334e-7      1.00       18.60  -0.00511352
  212    2.8433e-9    4.3444e-9      42.2133      21.3182     -20190.706    4.268e-5    6.818e-5    4.268e-5     -1.00       26.01    -0.480207
  213   5.1183e-12   8.0946e-12      52.3639      26.4132     -20229.639    7.013e-9    1.021e-8    7.013e-9      1.00       17.34     0.657186
  214   2.6001e-11   4.2927e-11      50.6450      25.5728     -20281.177    4.679e-8    6.964e-8    4.679e-8      1.00       17.20    -0.217978
  215   3.6631e-10   5.6853e-10      46.7188      23.5791     -20329.421    1.090e-6    1.716e-6    1.090e-6      1.00       19.40    -0.121106
  216   3.2872e-11   5.3452e-11      49.4920      24.9899     -20372.437    7.565e-8    1.120e-7    7.565e-8      1.00       18.45     0.425944
  217   4.0698e-10   6.8548e-10      46.0828      23.3019     -20420.228    1.773e-6    2.749e-6    1.773e-6      1.00       20.77    -0.251636
  218   6.7446e-10   9.6405e-10      44.8308      22.5941     -20462.951    3.746e-6    6.017e-6    3.746e-6      1.00       22.60    0.0732084
  219   6.0686e-10   8.1562e-10      45.0306      22.6636     -20504.828    1.479e-6    2.020e-6    1.479e-6      1.00       20.86     0.431671
  220   2.8167e-11   4.8428e-11      48.1685      24.3579     -20546.977    3.217e-8    4.087e-8    3.217e-8      1.00       16.84     0.629829
  221   7.0249e-10    1.1534e-9      44.9973      22.7467     -20595.021    2.296e-6    3.700e-6    2.296e-6      1.00       19.02     0.128836
  222    2.2130e-9    3.2296e-9      42.6241      21.5001     -20636.678    4.166e-6    6.605e-6    4.166e-6     -1.00       18.23     -1.07187
  223    4.6149e-8    7.0771e-8      36.2643      18.3458     -20676.158   0.0007338    0.001021   0.0007338     -1.00       27.21    -0.161163
  224    1.1357e-8    1.5240e-8      39.1518      19.7229     -20709.513    1.246e-5    1.822e-5    1.246e-5     -1.00       19.43   -0.0171642
  225    1.3301e-9    1.9498e-9      43.0241      21.7045     -20745.806    2.088e-6    2.568e-6    2.088e-6      1.00       18.72     0.965053
  226    1.9160e-8    2.9644e-8      37.9967      19.2171     -20786.300    8.402e-5   0.0001165    8.402e-5      1.00       21.94     0.532233
  227    1.3715e-6    2.2773e-6      29.4042      14.9562     -20821.404     0.02363     0.02717     0.02363      1.00       28.31     0.527487
  228    1.3158e-8    2.0793e-8      38.8427      19.6514     -20847.896   0.0001030   0.0001626   0.0001030      1.00       22.88      1.33688
  229    3.1699e-9    5.0304e-9      42.0959      21.2792     -20883.731    2.117e-6    3.164e-6    2.117e-6     0.999       13.26     0.487549
  230   3.2047e-11   4.8301e-11      48.6940      24.5518     -20922.408    3.094e-8    4.664e-8    3.094e-8      1.00       14.91   -0.0900691
  231    1.2673e-9    1.4995e-9      43.4056      21.7884     -20970.326    3.548e-7    5.114e-7    3.548e-7      1.00       15.52      1.29341
  232    2.7298e-8    4.2041e-8      37.2415      18.8362     -21011.130    6.169e-7    7.155e-7    6.169e-7    -0.969       5.332    -0.464747
  233   0.00026812   0.00040288      20.0120      10.2103     -21045.531     0.01643     0.01643     0.01643     -1.00       18.77      1.25048
  234    3.8956e-9    5.9835e-9      39.5244      19.9785     -21061.572    3.196e-6    4.573e-6    3.196e-6      1.00       15.56     0.718314
  235    6.6230e-9    9.6454e-9      40.2040      20.2902     -21099.870    5.964e-6    8.601e-6    5.964e-6      1.00       15.44     0.265537
  236    6.7328e-9    9.6719e-9      39.8226      20.0925     -21137.159    3.194e-6    4.410e-6    3.194e-6      1.00       14.50    0.0758013
  237    5.8870e-9    8.3235e-9      39.4483      19.8965     -21174.430    2.980e-6    3.981e-6    2.980e-6      1.00       14.34    -0.486435
  238    4.0372e-8    6.3030e-8      36.4841      18.4644     -21211.984    1.415e-5    1.863e-5    1.415e-5     0.999       12.08    -0.464106
  239    1.5652e-7    2.2842e-7      34.6585      17.5181     -21245.589   0.0003819   0.0005631   0.0003819      1.00       18.59    -0.197525
  240    2.8411e-7    4.0640e-7      32.8246      16.5913     -21276.551   0.0005378   0.0007547   0.0005378      1.00       20.16    0.0423619
  241    1.1354e-7    1.5290e-7      34.5475      17.4230     -21306.341   0.0001705   0.0002280   0.0001705      1.00       19.58     0.474305
  242    7.2459e-9    1.0865e-8      36.5999      18.5053     -21338.026    3.190e-6    4.012e-6    3.190e-6      1.00       14.86     0.517716
  243    7.3585e-7    1.0245e-6      31.6885      16.0098     -21375.106    0.001169    0.001609    0.001169      1.00       17.94     0.199504
  244    3.9761e-6    5.7894e-6      27.5578      13.9668     -21403.020     0.01319     0.01725     0.01319     -1.00       22.04  -0.00796244
  245    1.4948e-7    2.0914e-7      33.5483      16.9436     -21427.514   0.0001297   0.0001776   0.0001297      1.00       17.31      1.27094
  246    5.5462e-7    7.6643e-7      31.4642      15.8934     -21458.611   0.0001421   0.0001888   0.0001421    -0.999       12.11    -0.499939
  247    1.4765e-7    2.0134e-7      33.6818      16.9953     -21487.097    1.178e-5    1.599e-5    1.178e-5    -0.991       7.971    -0.585850
  248    1.0303e-5    1.4283e-5      25.5902      12.9589     -21518.244     0.02225     0.02718     0.02225      1.00       22.01     0.519679
  249    1.6167e-6    2.2965e-6      29.0646      14.7092     -21540.884    0.002327    0.002974    0.002327      1.00       18.81      1.31189
  250    8.4141e-6    1.1976e-5      26.0937      13.2236     -21567.203    0.002260    0.003074    0.002260    -0.999       12.33     0.256664
  251    5.6304e-6    7.8029e-6      27.5509      13.9389     -21590.221    0.004822    0.006405    0.004822      1.00       15.98     0.426059
  252    1.2193e-7    1.7154e-7      31.7941      16.0694     -21614.069    4.680e-5    6.141e-5    4.680e-5      1.00       13.91     0.509395
  253    8.5764e-7    1.3122e-6      30.5803      15.5031     -21645.568   0.0001036   0.0001309   0.0001036     0.992       8.054     0.378277
  254    6.6161e-7    8.4053e-7      30.9527      15.5963     -21673.080   0.0002224   0.0003185   0.0002224     0.999       13.23     0.266422
  255    2.0453e-6    2.8488e-6      28.8193      14.5756     -21701.298   0.0004316   0.0005162   0.0004316     0.999       12.64     0.295395
  256    3.7324e-6    5.8318e-6      27.8212      14.1341     -21727.167    0.002955    0.003778    0.002955      1.00       16.22     0.440334
  257    1.1119e-6    1.5027e-6      29.8465      15.0747     -21751.718    0.001930    0.002794    0.001930      1.00       18.19     0.939080
  258    7.5409e-7    9.9521e-7      30.7992      15.5372     -21778.835    7.948e-5   0.0001058    7.948e-5    -0.996       9.861     -1.23744
  259    2.6990e-7    3.3578e-7      31.7152      15.9679     -21806.753    6.393e-5    7.818e-5    6.393e-5      1.00       14.04     0.691945
  260    3.6961e-6    6.1943e-6      27.3111      13.9139     -21836.785    0.001618    0.001850    0.001618      1.00       14.88     0.141789
  261    2.3012e-5    3.3452e-5      24.3991      12.3860     -21861.285     0.07978      0.1129     0.07978     -1.00       20.25    -0.914966
  262    1.0822e-6    1.4265e-6      30.0090      15.1420     -21882.270   0.0003337   0.0004742   0.0003337    -0.999       12.43    -0.645984
  263    2.5104e-6    3.1776e-6      28.5946      14.4149     -21909.467   0.0001390   0.0001790   0.0001390    -0.995       9.115    -0.265395
  264    9.9047e-7    1.2830e-6      29.6274      14.9422     -21935.022    1.226e-5    1.323e-5    1.226e-5     0.925       3.630    -0.743722
  265    0.0015408    0.0021559      16.0361      8.18640     -21962.413     0.04991     0.04993     0.04991     -1.00       15.33     0.560679
  266    2.5636e-6    2.9925e-6      27.3179      13.7354     -21975.028   0.0001222   0.0001548   0.0001222     0.992       8.263    -0.581594
  267   0.00071074   0.00095475      17.6470      8.97134     -22000.621      0.1076      0.1145      0.1076     -1.00       14.27     0.403893
  268   0.00096856    0.0014014      17.1005      8.73471     -22014.825      0.1949      0.1981      0.1949      1.00       16.06    -0.391614
  269    1.1960e-5    1.5268e-5      25.2912      12.7683     -22028.335     0.01387     0.01871     0.01387      1.00       18.43     0.711811
  270    1.2790e-6    1.6161e-6      27.9645      14.1011     -22050.758   0.0002323   0.0002796   0.0002323     0.999       13.02     0.872697
  271    9.4936e-6    1.4902e-5      25.5180      12.9845     -22077.663    0.002470    0.002856    0.002470     0.999       13.34     0.154698
  272    4.6373e-5    6.7468e-5      22.9765      11.6755     -22100.342      0.1291      0.1561      0.1291      1.00       20.69    -0.282230
  273    2.7504e-6    3.6568e-6      28.2301      14.2572     -22119.925    0.004857    0.006776    0.004857     -1.00       19.17    -0.342993
  274       3.7451       3.7817     0.411404     0.210961     -22145.248    0.003340    0.003766    0.003340    -0.207     0.07752     0.500176
  275    5.0351e-5    6.5005e-5      22.4402      11.3479     -22142.597    0.002486    0.003143    0.002486    -0.986       7.159    0.0418346
  276    1.1811e-5    1.6286e-5      24.6106      12.4655     -22162.135   0.0001852   0.0002055   0.0001852     0.918       3.395    -0.422729
  277    7.0605e-5    9.6757e-5      21.9643      11.1408     -22184.506     0.04045     0.04772     0.04045      1.00       16.86      1.51584
  278   0.00011862   0.00014026      20.4123      10.2896     -22203.308    0.004683    0.005800    0.004683     0.990       7.845    -0.351176
  279   0.00069876   0.00090367      17.8960      9.07650     -22221.220     0.06851     0.07383     0.06851     0.999       11.69    -0.169026
  280    0.0019595    0.0025843      15.3187      7.79770     -22235.495      0.1737      0.1764      0.1737      1.00       14.76   -0.0463495
  281    7.0018e-6    8.6885e-6      23.7750      11.9970     -22247.688    0.001495    0.001810    0.001495     0.999       13.17     0.527627
  282   0.00036026   0.00050335      19.0772      9.70587     -22271.211     0.04236     0.04839     0.04236     0.999       12.11    0.0820822
  283   0.00048604   0.00057116      18.1416      9.15166     -22286.734      0.1801      0.1999      0.1801      1.00       16.41     0.208897
  284    0.0016566    0.0021660      15.4753      7.87216     -22301.831      0.1225      0.1310      0.1225     0.999       13.44     0.592176
  285    0.0065838    0.0085438      13.3526      6.80743     -22314.369      0.2177      0.2215      0.2177     0.999       11.97      1.38728
  286    2.3198e-5    3.0991e-5      22.5536      11.4213     -22324.155    0.004146    0.004867    0.004146     0.998       10.48    -0.190998
  287    3.0889e-5    3.9384e-5      22.8540      11.5476     -22345.208   0.0001682   0.0002411   0.0001682    -0.544      0.8798    -0.789634
  288   0.00060352   0.00075633      17.5576      8.89157     -22365.735      0.1310      0.1407      0.1310     -1.00       15.41   -0.0734312
  289     0.015364     0.017651      11.7048      5.92219     -22380.335      0.2470      0.2550      0.2470    -0.997       10.30     0.716017
  290      0.12808      0.15662      7.42311      3.81200     -22388.548      0.1394      0.1402      0.1394     0.983       6.615    -0.230932
  291   0.00014402   0.00021472      19.4973      9.94946     -22392.457     0.04007     0.04454     0.04007      1.00       14.04     0.995358
  292   0.00043285   0.00053102      18.4279      9.31639     -22409.748      0.1980      0.2281      0.1980      1.00       16.81     0.333080
  293    6.6885e-5    7.5405e-5      21.1293      10.6258     -22425.034    0.002631    0.003024    0.002631     0.997       10.26     0.960246
  294      0.18676      0.22938      6.38572      3.29557     -22444.139     0.07093     0.07143     0.07093     0.976       5.872    -0.130304
  295    0.0099505     0.011452      11.9755      6.05866     -22447.290      0.2442      0.2520      0.2442     0.998       11.09     0.800518
  296    0.0079320     0.011033      12.4199      6.37504     -22456.369      0.3518      0.3667      0.3518    -0.997       9.658     0.177100
  297    0.0020577    0.0026385      15.8104      8.02954     -22465.713      0.3205      0.3681      0.3205     0.999       12.57    0.0739724
  298    2.6538e-6    3.3624e-6      24.6923      12.4653     -22477.837   0.0002721   0.0003207   0.0002721     0.996       9.507     0.159298
  299       2.5625       2.8058      1.31363     0.702745     -22503.279     0.02530     0.02768     0.02530    -0.587      0.7559     0.884983
  300    0.0078942    0.0093219      13.0435      6.60507     -22501.307      0.3673      0.4021      0.3673     0.997       10.07     0.340305
  301    0.0022757    0.0027539      14.5170      7.35452     -22510.824     0.08733     0.09406     0.08733     0.997       10.20     0.733191
  302     0.040501     0.049753      9.28887      4.74698     -22522.804      0.3049      0.3074      0.3049    -0.994       8.704    -0.445904
  303     0.016860     0.020149      10.8742      5.52664     -22529.011      0.2324      0.2341      0.2324     0.998       10.56     0.578360
  304    0.0074772    0.0089054      12.3960      6.28540     -22536.998      0.2016      0.2187      0.2016    -0.997       10.04   0.00776271
  305     0.047222     0.053115      8.93727      4.52786     -22546.615      0.1963      0.1965      0.1963    -0.994       8.657     0.578299
  306     0.049447     0.064372      9.08840      4.67729     -22552.604      0.2502      0.2560      0.2502     0.990       7.614      1.96169
  307     0.022656     0.025349      10.4008      5.25700     -22558.353      0.2447      0.2771      0.2447     0.969       5.594     0.597026
  308      0.27446      0.32367      5.83136      2.99832     -22565.816      0.3243      0.3280      0.3243     0.962       5.051     0.286699
  309    0.0017124    0.0021941      14.4641      7.35759     -22568.237      0.1539      0.1670      0.1539     0.998       11.34      1.32807
  310    0.0021268    0.0024657      14.4588      7.30404     -22580.729     0.09274      0.1065     0.09274     0.996       9.512     0.720152
  311     0.030857     0.038001      10.0536      5.13131     -22592.887      0.2684      0.2800      0.2684     0.986       7.032     0.602042
  312     0.014144     0.016831      11.1881      5.68031     -22599.636      0.3008      0.3397      0.3008    -0.991       7.940    -0.934326
  313      0.23431      0.26056      6.01524      3.06131     -22607.979      0.3112      0.3179      0.3112     0.965       5.234     0.941221
  314      0.12055      0.14361      7.58029      3.87775     -22610.775      0.4377      0.4451      0.4377     0.866       2.600     0.215463
  315    0.0025310    0.0031292      12.4256      6.31878     -22614.831     0.04142     0.04472     0.04142     0.977       5.989   -0.0342725
  316     0.021897     0.026779      10.4051      5.30309     -22626.577      0.2054      0.2336      0.2054    -0.963       5.207   -0.0872799
  317     0.025203     0.028210      10.3956      5.25418     -22634.019      0.1160      0.1208      0.1160     0.781       1.769    0.0755006
  318      0.26719      0.31038      5.98240      3.06610     -22641.268      0.5082      0.5189      0.5082     0.954       4.687   -0.0135910
  319     0.091539      0.10648      7.47056      3.81039     -22643.757      0.5381      0.5568      0.5381    -0.981       6.446    -0.658260
  320      0.12142      0.14253      7.02700      3.59367     -22648.388      0.3472      0.3478      0.3472    -0.983       6.679    0.0310719
  321     0.040739     0.047579      9.06510      4.61131     -22652.445      0.2566      0.2685      0.2566     0.987       7.133      1.52495
  322     0.039937     0.045845      8.79474      4.46582     -22658.691      0.2390      0.2685      0.2390    -0.934       4.132    -0.592265
  323      0.12369      0.14001      7.10129      3.61258     -22664.994      0.6058      0.6224      0.6058    -0.968       5.442   -0.0532612
  324      0.49057      0.57359      4.94850      2.55256     -22669.050      0.5804      0.5990      0.5804     0.706       1.247     0.267853
  325     0.093380      0.10060      7.53112      3.80323     -22670.318      0.6204      0.6372      0.6204     0.983       6.679     0.591790
  326      0.30635      0.38554      5.15888      2.69429     -22674.985      0.3199      0.3226      0.3199    -0.959       4.800    -0.166951
  327   0.00048271   0.00059729      14.9828      7.60031     -22677.122     0.04301     0.05020     0.04301     0.998       10.65     0.763763
  328       3.8948       3.8954      1.22501     0.612518     -22692.181      0.2898      0.3108      0.2898   -0.0710     0.01014    -0.152889
  329       2.3652       2.5628      1.64495     0.862991     -22689.461      0.7352      0.7522      0.7352    -0.583      0.7698     0.735010
  330      0.11300      0.12451      6.42042      3.25898     -22687.659      0.2248      0.2411      0.2247     0.188     0.04489     0.243186
  331      0.54455      0.62340      4.61632      2.37601     -22691.923      0.6727      0.6932      0.6727     0.671       1.085     0.459546
  332     0.061919     0.075563      7.43429      3.81744     -22693.003      0.4052      0.4270      0.4052     0.959       4.854     0.673978
  333      0.13285      0.15191      6.92412      3.52936     -22698.368      0.5969      0.6278      0.5969     0.946       4.375     0.413544
  334      0.24338      0.27648      5.88335      3.00577     -22702.271      0.6722      0.6869      0.6722     0.956       4.774     0.552128
  335      0.10408      0.11309      7.40088      3.74283     -22704.970      0.5577      0.5810      0.5577     0.971       5.687      1.31071
  336       1.1806       1.3380      3.06002      1.59235     -22709.412      0.7585      0.8068      0.7585     0.140     0.03770    -0.461601
  337     0.013928     0.016180      9.14175      4.64449     -22708.955     0.03903     0.04652     0.03903    -0.145     0.08802    -0.639267
  338      0.95979       1.0791      3.09074      1.60388     -22717.353      0.4617      0.4662      0.4617    -0.857       2.542    -0.107707
  339      0.21872      0.24226      5.92870      3.01533     -22717.318      0.5710      0.6082      0.5710    -0.828       2.310    -0.209508
  340       1.4194       1.5207      2.85215      1.46036     -22720.255      0.7294      0.7454      0.7294     0.741       1.526    -0.360839
  341      0.58770      0.68108      3.83167      1.98979     -22719.486      0.4947      0.5057      0.4947     0.916       3.497     0.323393
  342       2.9380       2.9861     0.934117     0.475486     -22720.401      0.4977      0.5247      0.4977     0.524      0.6295     0.498308
  343      0.46147      0.52800      3.89520      2.01451     -22718.230      0.8476      0.8730      0.8476    -0.877       2.852    -0.497127
  344     0.052152     0.061992      8.37990      4.27596     -22719.642      0.7687      0.7862      0.7687    -0.990       7.704    -0.526810
  345       2.1727       2.2524      1.49933     0.768111     -22725.376      0.3061      0.3205      0.3061     0.671       1.165     0.693150
  346       4.6991       4.7910     0.802485     0.411002     -22723.788       1.367       1.393       1.367    -0.199     0.08624     0.183973
  347      0.74280      0.80365      3.22119      1.65078     -22720.674      0.9397      0.9602      0.9397     0.869       2.742      1.10131
  348       1.4150       1.5452      2.10823      1.09793     -22721.190      0.7742      0.7927      0.7742    -0.758       1.623    -0.309213
  349      0.30671      0.35171      4.86852      2.50376     -22720.408      0.6702      0.6943      0.6702     0.945       4.338      1.37083
  350      0.33613      0.34973      5.56836      2.80493     -22722.634       1.123       1.163       1.123     0.954       4.814      1.75566
  351      0.19384      0.21394      4.87909      2.48836     -22724.775      0.3678      0.3742      0.3678    -0.765       1.697    -0.406851
  352       2.7798       2.9877      1.40356     0.738011     -22727.958      0.9433      0.9665      0.9433    -0.493      0.5128     0.338314
  353       2.1358       2.3301      1.67509     0.881194     -22725.841       1.121       1.174       1.121     0.504      0.5137     0.194638
  354       3.6016       3.6324     0.516449     0.262358     -22724.236      0.9002      0.9544      0.9002    -0.246      0.1167    -0.220893
  355      0.12864      0.15136      5.89551      3.03027     -22721.665      0.7450      0.7689      0.7450     0.968       5.354      1.14983
  356       1.8113       1.9536      1.98465      1.03041     -22725.604      0.7704      0.8123      0.7704     0.697       1.256     0.478130
  357       2.8518       2.8912      1.46769     0.741293     -22724.340       1.159       1.205       1.159     0.653       1.105      1.26262
  358       3.5300       3.6144     0.703491     0.363797     -22722.231       1.584       1.603       1.584    0.0245    0.001019     0.446778
  359      0.50732      0.56142      2.78282      1.44276     -22719.684      0.7802      0.8079      0.7802     0.571      0.7098     0.535069
  360       2.9511       3.0628      1.31879     0.678015     -22720.940       1.442       1.497       1.442     0.212     0.07517    0.0816339
  361      0.52470      0.60130      3.57537      1.85643     -22718.739      0.9927       1.019      0.9927     0.884       2.899     0.733918
  362       2.1949       2.3446      1.44983     0.758048     -22719.892      0.8004      0.8458      0.8004     0.624      0.9198     0.255538
  363       4.0171       4.0246     0.258067     0.130049     -22718.254      0.8289      0.8716      0.8289   -0.0256   0.0007591     0.153934
  364       6.0693       6.0872     0.203070     0.103271     -22715.471       1.453       1.473       1.453     0.114     0.02840     0.645353
  365       3.5769       3.6286     0.412193     0.213661     -22711.862       1.596       1.614       1.596     0.132     0.03180     0.644363
  366      0.15203      0.16991      3.60093      1.85754     -22709.298      0.3982      0.4139      0.3982     0.558      0.6618     0.527871
  367       2.6198       2.8339      1.43958     0.759293     -22712.954       1.252       1.295       1.252    -0.382      0.3034     0.443018
  368       3.7596       3.7605     0.761954     0.380903     -22710.950       1.399       1.472       1.399    -0.243      0.1296    -0.373889
  369       2.8070       2.8861     0.729841     0.378684     -22708.301       1.099       1.141       1.099    -0.459      0.4451    -0.184593
  370       5.9531       5.9560     0.360213     0.180735     -22706.209       1.460       1.503       1.460     0.314      0.2097      1.01426
