# rtp2_ellcurve; author codex:gpt-6-astra; FLINT 3.0.1; certified forms/eigenpairs; PARI comparisons approximate
# curve=11a1 C=11 rank=0 root_number=1; gamma (Q,d,mu)=(1/(2pi),1,1); no poles
# CONTROL_SPECTRUM object=11a1 x=50 N=60 prec=384; gamma includes conductor shift; no atoms
SPECTRUM object=11a1 block=E index=1 eigenvalue=[-1.78617585006 +/- 4.48e-12] lower_count=0 upper_count=1 certified=1
SPECTRUM object=11a1 block=E index=2 eigenvalue=[0.19400779960 +/- 7.03e-12] lower_count=1 upper_count=2 certified=1
SPECTRUM object=11a1 block=E index=3 eigenvalue=[1.31374030338 +/- 6.89e-12] lower_count=2 upper_count=3 certified=1
SPECTRUM object=11a1 block=E index=4 eigenvalue=[2.03740069623 +/- 7.34e-12] lower_count=3 upper_count=4 certified=1
SPECTRUM object=11a1 block=E index=5 eigenvalue=[2.56969952454 +/- 6.56e-12] lower_count=4 upper_count=5 certified=1
SPECTRUM object=11a1 block=E index=6 eigenvalue=[2.99037091018 +/- 6.76e-12] lower_count=5 upper_count=6 certified=1
SPECTRUM object=11a1 block=E index=7 eigenvalue=[3.33804404861 +/- 5.78e-12] lower_count=6 upper_count=7 certified=1
SPECTRUM object=11a1 block=E index=8 eigenvalue=[3.63428414301 +/- 4.99e-12] lower_count=7 upper_count=8 certified=1
SPECTRUM object=11a1 block=E index=9 eigenvalue=[3.89233907136 +/- 6.17e-12] lower_count=8 upper_count=9 certified=1
SPECTRUM object=11a1 block=E index=10 eigenvalue=[4.12092552145 +/- 8.15e-12] lower_count=9 upper_count=10 certified=1
SPECTRUM object=11a1 block=E index=11 eigenvalue=[4.32608266307 +/- 6.03e-12] lower_count=10 upper_count=11 certified=1
SPECTRUM object=11a1 block=E index=12 eigenvalue=[4.51216641879 +/- 7.97e-12] lower_count=11 upper_count=12 certified=1
SPECTRUM object=11a1 block=E index=13 eigenvalue=[4.68242162288 +/- 7.06e-12] lower_count=12 upper_count=13 certified=1
SPECTRUM object=11a1 block=E index=14 eigenvalue=[4.83933019608 +/- 5.48e-12] lower_count=13 upper_count=14 certified=1
SPECTRUM object=11a1 block=E index=15 eigenvalue=[4.98483288270 +/- 3.68e-12] lower_count=14 upper_count=15 certified=1
SPECTRUM object=11a1 block=E index=16 eigenvalue=[5.12047590366 +/- 6.78e-12] lower_count=15 upper_count=16 certified=1
SPECTRUM object=11a1 block=E index=17 eigenvalue=[5.24751109371 +/- 7.43e-12] lower_count=16 upper_count=17 certified=1
