zst: x = 20 (prime powers <= 20), N = 100, prec = 900 bits, L = [2.99573227355399 +/- 9.94e-16]
matrix build: 0.16s
minimal even eigenvalue eps_N = [3.547729717e-95 +/- 3.94e-105]  (Rump-certified, 0.58s)
even-simple hypothesis (deflated Cholesky of E - 2 eps and O - 2 eps): CERTIFIED  (0.23s)
xi_0 = [6.889859248e+45 +/- 3.15e+34], xi_1 = [-6.249108320e+45 +/- 4.34e+35], xi_N = [-0.040717 +/- 2.07e-7]
positive secular roots: 100 certified of N = 100, 0 unresolved  ->  spectrum COMPLETE  (1.28s)

  k   z_k = 2 pi s_k / L                                   |z_k - gamma_k| <=
  1   14.13472514173469379045725198356247027078   3.07e-91
  2   21.02203963877155499262847959389690277733   7.46e-88
  3   25.01085758014568876321379099256282181866   8.50e-86
  4   30.42487612585951321031189753058409132018   1.05e-82
  5   32.93506158773918969066236896407490348881   2.46e-81
  6   37.58617815882567125721776348070533282141   5.35e-79
  7   40.91871901214749518739812691463325439573   6.86e-77
  8   43.32707328091499951949612216540680578265   1.03e-75
  9   48.00515088116715972794247274942751604169   5.86e-73
 10   49.77383247767230218191678467856372405772   6.92e-72
 11   52.97032147771446064414729660888099006383   1.41e-70
 12   56.44624769706339480436775947670612755278   1.22e-68
 13   59.34704400260235307965364867499221903110   1.37e-66
 14   60.83177852460980984425990182452400380291   6.25e-66
 15   65.11254404808160666087505425318370502935   6.80e-64
 16   67.07981052949417371447882889652221677011   1.28e-62
 17   69.54640171117397925292685752655473844301   1.77e-61
 18   72.06715767448190758252210796982616839048   2.09e-60
 19   75.70469069908393316832691676203034592281   4.79e-58
 20   77.14484006887480537268266485630463701580   4.04e-57
 21   79.33737502024936792276359287711622819061   1.71e-56
 22   82.91038085408603018316483749477060949751   1.20e-54
 23   84.73549298051705010573531120682774141711   1.52e-53
 24   87.42527461312522940653166785091921325217   5.11e-52
 25   88.80911120763446542368234807950937839544   1.75e-51
 26   92.49189927055848429625972524181068487872   6.43e-50
 27   94.65134404051988696659792581520815393773   3.13e-48
 28   95.87063422824530975874102921924678169526   9.56e-48
 29   98.83119421819369223332442013862232782066   6.28e-47
 30   101.3178510057313912287854479402923089063   1.26e-45
 31   103.7255380404783394163984081086952808345   3.85e-44
 32   105.4466230523260944936708324141118089973   3.43e-43
 33   107.1686111842764075151233519630861912135   8.91e-43
 34   111.0295355431696745246564503099443504153   2.05e-40
 35   111.8746591769926370856120787167705949603   6.95e-40
 36   114.3202209154527127658909372761910798099   2.70e-39
 37   116.2266803208575543821608043120647551273   1.36e-38
 38   118.7907828659762173229791397026998243474   1.29e-37
 39   121.3701250024206459189455329704999227284   5.39e-36
 40   122.9468292935525882008174603307700165555   5.93e-35
 41   124.2568185543457671847320079661299245445   1.03e-34
 42   127.5166838795964951242793237669060772417   9.74e-34
 43   129.5787041999560509857680339061799953938   2.18e-32
 44   131.0876885309326567235663724615014490999   1.00e-31
 45   133.4977372029975864501304920426417188541   1.11e-30
 46   134.7565097533738713313260641571722556299   2.52e-30
 47   138.1160420545334432001915551903346175423   5.22e-29
 48   139.7362089521213889504500465241421379836   7.60e-28
 49   141.1237074040211237619403538207465793195   2.27e-27
 50   143.1118458076206327394051238732258542972   4.31e-27
 51   146.0009824867655185474025076820491170486   8.56e-26
 52   147.4227653425596020495211854346930496231   4.24e-25
 53   150.0535204207848803514324815351948863185   1.43e-23
 54   150.9252576122414667618525577843625771092   3.31e-23
 55   153.0246938111988961982565748630817882669   3.06e-23
 56   156.1129092942378675697510884276020076053   8.99e-22
 57   157.5975918175940598875409813105321348532   1.05e-20
 58   158.8499881714204987241958533286682637996   2.09e-20
 59   161.1889641375960275194932934981211794354   5.59e-20
 60   163.0307096871819872435174580846344700644   2.06e-19
 61   165.5370691879004188325723328301329474884   2.53e-18
 62   167.1844399781745134601869381303172807645   1.92e-17
 63   169.0945154155688217292820970362611226945   2.40e-16
 64   169.9119764794116992499265518898132435080   2.83e-16
 65   173.4115365195915545350200454019966699049   1.58e-15
 66   174.7541915233657359656420176335735552503   1.02e-14
 67   176.4414342977104494338882057239805664703   3.05e-14
 68   178.3774077761001023379034101047027835725   1.25e-13
 69   179.9164840202572656772124353926302350037   2.70e-13
 70   182.2070784843672388960281880352493652248   7.77e-13
 71   184.8744678484545888143702712621751068650   6.71e-11
 72   185.5987836778780195829774240382970786509   1.71e-10
 73   187.2289225836120540300507231614548025673   1.10e-10
 74   189.4161586561953785696901328861558502783   1.78e-10
 75   192.0266563648098333262786244080482626397   4.10e-9
 76   193.0797266157843205581430293305314151751   1.19e-8
 77   195.2653967212864508485219293358091169984   4.18e-8
 78   196.8764820729147518014780796255159599450   2.32e-7
 79   198.0153099310566399652971535624348097200   2.55e-7
 80   201.2647543801892382234381753789914344694   2.44e-6
 81   202.4936085288243269354333134748829943384   1.40e-5
 82   204.1897307994235215287180843340717040316   5.90e-5
 83   205.3947805125789906898056502904825683257   8.33e-5
 84   207.9065186342060338007920095925041807358   0.000260
 85   209.5780554340060192705236115938112083458   0.00155
 86   213.4879122492267399563733692823197542789   1.80
 87   219.0850247010527393878230694415481550802   5.74
 88   226.2026663958171512873067312162206854560   11.7
 89   235.6750852178561345486911972347275893008   19.5
 90   251.1160950721817148540114690671622586670   32.0
 91   269.4158956264592954662742403731650925756   48.7
 92   293.9414076962940775993597616968156812848   72.5
 93   325.2853572277044359206390326075650435940   1.01e+2
 94   367.9955713646795299223546663591368866928   1.43e+2
 95   428.8511410819171808608587164465473648434   2.01e+2
 96   516.2014092776822798457670782976332551513   2.87e+2
 97   659.8883229118956957967558487435005609698   4.29e+2
 98   921.7235785856101864264060639716455870687   6.90e+2
 99   1546.452549217719846850054343015987954925   1.31e+3
100   4914.518400356535075255385263181356449640   4.68e+3

total 2.59s
wall 2.599811868 s  maxrss 2012 KB
