zst: x = 30 (prime powers <= 30), N = 450, prec = 1300 bits, L = [3.40119738166216 +/- 4.63e-15]
matrix build: 1.57s
minimal even eigenvalue eps_N = [2.125483712e-150 +/- 1.92e-160]  (Rump-certified, 34.67s)
even-simple hypothesis (deflated Cholesky of E - 2 eps and O - 2 eps): CERTIFIED  (23.58s)
xi_0 = [1.983370450e+73 +/- 1.69e+63], xi_1 = [-1.836782926e+73 +/- 1.74e+62], xi_N = [2.3746e-5 +/- 2.89e-10]
positive secular roots: 450 certified of N = 450, 0 unresolved  ->  spectrum COMPLETE  (657.23s)

  k   z_k = 2 pi s_k / L                                   |z_k - gamma_k| <=
111   255.3062564549140227530864917942843013627   2.83e-28
112   256.3807136944344777893583823405416775333   8.12e-28
113   258.6104394915313682089830586507934612524   6.03e-27
114   259.8744069896780003506728446515863881837   3.77e-26
115   260.8050845045968701859312335063043914001   3.38e-26
116   263.5738939048701322330815881868035924937   5.58e-26
117   265.5578518388763202924773104338258978926   1.47e-24
118   266.6149737815010724957201189422127592642   5.97e-24
119   267.9219150828240594403789741612328117010   6.99e-24
120   269.9704490239976025946935205613745552018   1.52e-23
121   271.4940556416449990181794561513088664900   3.94e-23
122   273.4596091884032870457143810835234729677   1.31e-22
123   275.5874926493438412487440491755712658345   3.35e-21
124   276.4520495031329386798958484394311800568   8.50e-21
125   278.2507435298419544927674206873817107575   1.91e-20
126   279.2292509277451892284286663476709984820   1.88e-20
127   282.4651147650520962333448983699746563010   3.18e-19
128   283.2111857332338674214204518007053853673   9.27e-19
129   284.8359639809047241342558150838236580572   1.10e-18
130   286.6674453630028842972775424687316461154   4.43e-18
131   287.9119205014221871643645194652046139896   9.11e-18
132   289.5798549292188341628633241433636217498   1.01e-17
133   291.8462913290673958837999017461496356031   4.83e-17
134   293.5584341393562858827314686568229866063   5.26e-16
135   294.9653696192655483719457807697458055519   6.20e-15
136   295.5732548789582982490985249424909049225   5.86e-15
137   297.9792770619434171223252963147553793279   1.91e-15
138   299.8403260537213212931721236564152856685   8.33e-15
139   301.6493254621942601024646881127299417574   7.65e-14
140   302.6967495896070689608498619308145921316   1.52e-13
141   304.8643713408581878976502762417291277084   8.90e-13
142   305.7289126020384742682585114044198087389   1.66e-12
143   307.2194961281707784158719450305284336491   7.24e-13
144   310.1094631467096968386906876917127578780   7.80e-12
145   311.1651415303960914622948703970194150838   4.01e-11
146   312.4278011806640994668381283278325737492   6.32e-11
147   313.9852857312413523521356884414652596252   8.24e-11
148   315.4756160895651629858259531388349463609   8.94e-11
149   317.7348059427593141471092772288482436836   3.89e-10
150   318.8531042571163220646424552278015977349   8.00e-10
151   321.1601343152027074457314139605286812915   6.09e-9
152   322.1445586913573996408296646482605471533   1.89e-8
153   323.4669695770858659543545058582181594643   1.96e-8
154   324.8628660633280345527777527232027795955   1.16e-8
155   327.4439012959867633792327245265326792393   3.41e-8
156   329.0330720947296780239802742102908478256   4.14e-7
157   329.9532404942688662209183800030406037623   7.66e-7
158   331.4744680853417560087752777532705161030   5.03e-7
159   333.6453826237800473203079859247699449453   4.10e-6
160   334.2113592408374348602445846504347302171   4.41e-6
161   336.8418529129835860806716266607559211786   2.48e-6
162   338.3400045435092955747140623323997422059   1.17e-5
163   339.8582654672854861816038339826755531792   4.87e-5
164   341.0423701860357160474918894658939695965   0.000109
165   342.0549352769356009570125108298408921133   5.78e-5
166   344.6617483350596062307828024482923706725   4.54e-5
167   346.3482676235177574483693634416503382204   0.000397
168   347.2732644245851138744406552225943255192   0.000587
169   349.3173185275877727265622778104654296062   0.00106
170   350.4102940206910541739060545421687663008   0.00187
171   351.8799784902683047573817787083630848657   0.00133
172   353.4897600835237804707647504833719246542   0.000860
173   356.0236299430364209709369405262436964497   0.00605
174   357.1918646730014255712487736239010550366   0.0406
175   357.9920864984990329922920934461894744912   0.0394
176   359.7558803153241976126686246534016959906   0.0121
177   361.2989420706902483338538973262427656832   0.00958
178   363.3479393471452080059745325045829195603   0.0166
179   364.7731249508091594248111913108536392240   0.0371
180   366.2615607626189790569524253773182467687   0.0489
181   368.1314206404523493369117945635311361046   0.138
182   369.2653607354502637928205100741376632458   0.297
183   370.1637518579075389048055998884883931935   0.113
184   373.1567821118174461446978231437340863658   0.0949
185   374.0661120701942252958514256121662169248   0.201
186   376.0757113313144975698494531001680116896   0.250
187   378.2272601479554258403062623478497061498   1.90
188   379.5094516861395625413890881506160524187   1.07
189   380.9423059597264033902491160618184884283   1.07
190   382.0786747668764077950128137432841866366   0.594
191   383.7219779117489750085347344575946227301   0.278
192   385.4252328325443898627232685848748127242   0.469
193   387.0615896554695922199183362927465682497   1.20
194   388.7947183900854134059917653681545493434   1.57
195   391.3302624392532565207802470317507950158   2.48
196   392.1727131202082190294389143898009660724   0.717
197   393.4865011315191075186259713692029190548   1.24
198   395.8108870331279133408941535260705961918   2.38
199   397.1646448484533827123579544100802523086   1.58
200   398.2771294822308093797547802589887141090   1.90
201   400.1237211588139404420810638841149152286   2.20
202   402.1410860166283662860167083655741333763   2.16
203   403.6239490896112571542768025682515921651   1.78
204   404.9612916787845001609404019152484014432   2.10
205   407.5333547804357508279520969821919649834   3.30
206   408.9210796613337765684054423322082137959   3.79
207   410.5670576035681622666392133508690957839   2.99
208   412.1411589586225660832751526236533772505   3.19
209   413.4701601920177939758163988150950467292   2.96
210   415.2738972699512299219768044489217654271   3.30
211   418.2892673950859000095789881393143309807   5.03
212   419.5180692121783065153859451689008087398   4.50
213   420.5785853558693615224640092668316163805   5.12
